Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Shane Reynolds , Astros , 1997 , 8.0 , 1 , W , 0.64 , 0.15
Mike Hampton , Astros , 1997 , 7.0 , 2 , W , 0.46 , 0.23
Darryl Kile , Astros , 1997 , 8.0 , 3 , L , 0.36 , 0.45
Chris Holt , Astros , 1997 , 6.33 , 2 , N , 0.4 , 0.23
Sid Fernandez , Astros , 1997 , 5.0 , 2 , W , 0.35 , 0.24
Shane Reynolds , Astros , 1997 , 6.33 , 2 , N , 0.4 , 0.23
Mike Hampton , Astros , 1997 , 6.0 , 2 , L , 0.4 , 0.23
Darryl Kile , Astros , 1997 , 8.0 , 3 , N , 0.36 , 0.45
Chris Holt , Astros , 1997 , 7.0 , 3 , W , 0.34 , 0.37
Shane Reynolds , Astros , 1997 , 8.0 , 4 , L , 0.25 , 0.58
Ramon Garcia , Astros , 1997 , 5.0 , 2 , W , 0.35 , 0.24
Mike Hampton , Astros , 1997 , 5.0 , 4 , L , 0.17 , 0.5
Darryl Kile , Astros , 1997 , 8.0 , 2 , N , 0.49 , 0.3
Chris Holt , Astros , 1997 , 6.33 , 6 , L , 0.08 , 0.74
Shane Reynolds , Astros , 1997 , 9.0 , 2 , W , 0.8 , 0.13
Mike Hampton , Astros , 1997 , 5.67 , 5 , L , 0.13 , 0.61
Darryl Kile , Astros , 1997 , 8.0 , 1 , W , 0.64 , 0.15
Chris Holt , Astros , 1997 , 7.0 , 1 , W , 0.59 , 0.11
Shane Reynolds , Astros , 1997 , 8.0 , 3 , W , 0.36 , 0.45
Mike Hampton , Astros , 1997 , 3.33 , 0 , N , 0.0 , 0.02
Darryl Kile , Astros , 1997 , 7.67 , 2 , N , 0.56 , 0.17
Chris Holt , Astros , 1997 , 8.0 , 2 , L , 0.49 , 0.3
Shane Reynolds , Astros , 1997 , 7.0 , 3 , L , 0.34 , 0.37
Mike Hampton , Astros , 1997 , 4.0 , 6 , N , 0.0 , 0.79
Donne Wall , Astros , 1997 , 6.67 , 1 , W , 0.62 , 0.09
Darryl Kile , Astros , 1997 , 3.67 , 4 , L , 0.0 , 0.62
Chris Holt , Astros , 1997 , 6.0 , 4 , L , 0.19 , 0.5
Shane Reynolds , Astros , 1997 , 8.0 , 1 , W , 0.64 , 0.15
Mike Hampton , Astros , 1997 , 3.33 , 4 , N , 0.0 , 0.62
Darryl Kile , Astros , 1997 , 9.0 , 0 , W , 0.96 , 0.01
Chris Holt , Astros , 1997 , 7.0 , 1 , W , 0.59 , 0.11
Ramon Garcia , Astros , 1997 , 2.0 , 5 , L , 0.0 , 0.75
Shane Reynolds , Astros , 1997 , 8.0 , 1 , N , 0.64 , 0.15
Mike Hampton , Astros , 1997 , 7.0 , 2 , W , 0.46 , 0.23
Darryl Kile , Astros , 1997 , 7.0 , 1 , N , 0.59 , 0.11
Chris Holt , Astros , 1997 , 6.33 , 2 , W , 0.4 , 0.23
Donne Wall , Astros , 1997 , 3.0 , 4 , L , 0.0 , 0.62
Shane Reynolds , Astros , 1997 , 3.33 , 4 , L , 0.0 , 0.62
Mike Hampton , Astros , 1997 , 6.0 , 2 , N , 0.4 , 0.23
Darryl Kile , Astros , 1997 , 8.0 , 0 , W , 0.76 , 0.04
Chris Holt , Astros , 1997 , 6.0 , 2 , W , 0.4 , 0.23
Shane Reynolds , Astros , 1997 , 6.33 , 4 , L , 0.19 , 0.5
Mike Hampton , Astros , 1997 , 5.0 , 5 , L , 0.1 , 0.62
Darryl Kile , Astros , 1997 , 7.0 , 1 , W , 0.59 , 0.11
Chris Holt , Astros , 1997 , 5.0 , 3 , N , 0.25 , 0.36
Shane Reynolds , Astros , 1997 , 7.0 , 1 , N , 0.59 , 0.11
Donne Wall , Astros , 1997 , 4.33 , 8 , L , 0.0 , 0.91
Darryl Kile , Astros , 1997 , 7.0 , 0 , W , 0.73 , 0.04
Chris Holt , Astros , 1997 , 4.67 , 5 , N , 0.0 , 0.66
Shane Reynolds , Astros , 1997 , 6.0 , 3 , N , 0.29 , 0.36
Mike Hampton , Astros , 1997 , 5.0 , 4 , N , 0.17 , 0.5
Darryl Kile , Astros , 1997 , 7.0 , 4 , W , 0.25 , 0.5
Chris Holt , Astros , 1997 , 3.67 , 3 , L , 0.0 , 0.51
Shane Reynolds , Astros , 1997 , 1.33 , 8 , L , 0.0 , 0.79
Mike Hampton , Astros , 1997 , 7.33 , 3 , N , 0.34 , 0.37
Donne Wall , Astros , 1997 , 7.0 , 0 , W , 0.73 , 0.04
Darryl Kile , Astros , 1997 , 7.0 , 3 , N , 0.34 , 0.37
Chris Holt , Astros , 1997 , 7.0 , 1 , W , 0.59 , 0.11
Shane Reynolds , Astros , 1997 , 5.0 , 4 , L , 0.17 , 0.5
Mike Hampton , Astros , 1997 , 4.33 , 6 , N , 0.0 , 0.79
Donne Wall , Astros , 1997 , 6.33 , 3 , N , 0.29 , 0.36
Darryl Kile , Astros , 1997 , 9.0 , 0 , W , 0.96 , 0.01
Chris Holt , Astros , 1997 , 6.67 , 5 , L , 0.17 , 0.6
Shane Reynolds , Astros , 1997 , 3.0 , 0 , N , 0.0 , 0.02
Mike Hampton , Astros , 1997 , 4.67 , 5 , L , 0.0 , 0.66
Donne Wall , Astros , 1997 , 5.0 , 2 , L , 0.35 , 0.24
Darryl Kile , Astros , 1997 , 7.0 , 2 , L , 0.46 , 0.23
Chris Holt , Astros , 1997 , 7.0 , 2 , N , 0.46 , 0.23
Mike Hampton , Astros , 1997 , 6.33 , 3 , L , 0.29 , 0.36
Ramon Garcia , Astros , 1997 , 5.0 , 0 , W , 0.59 , 0.05
