Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Bob Welch , Athletics , 1993 , 5.0 , 1 , W , 0.47 , 0.13
Ron Darling , Athletics , 1993 , 3.33 , 2 , N , 0.0 , 0.39
Storm Davis , Athletics , 1993 , 7.0 , 2 , L , 0.46 , 0.23
Bobby Witt , Athletics , 1993 , 7.0 , 3 , N , 0.34 , 0.37
Bob Welch , Athletics , 1993 , 6.33 , 3 , W , 0.29 , 0.36
Shawn Hillegas , Athletics , 1993 , 6.0 , 0 , W , 0.66 , 0.04
Storm Davis , Athletics , 1993 , 2.33 , 7 , L , 0.0 , 0.88
Bobby Witt , Athletics , 1993 , 5.67 , 1 , N , 0.51 , 0.12
Bob Welch , Athletics , 1993 , 6.0 , 6 , L , 0.08 , 0.74
Shawn Hillegas , Athletics , 1993 , 5.0 , 3 , L , 0.25 , 0.36
Storm Davis , Athletics , 1993 , 6.0 , 2 , N , 0.4 , 0.23
Bobby Witt , Athletics , 1993 , 8.0 , 3 , N , 0.36 , 0.45
Ron Darling , Athletics , 1993 , 2.67 , 4 , L , 0.0 , 0.65
Shawn Hillegas , Athletics , 1993 , 1.0 , 5 , L , 0.0 , 0.72
Storm Davis , Athletics , 1993 , 7.67 , 6 , L , 0.11 , 0.82
Bobby Witt , Athletics , 1993 , 6.0 , 2 , W , 0.4 , 0.23
Bob Welch , Athletics , 1993 , 7.67 , 3 , L , 0.46 , 0.32
Ron Darling , Athletics , 1993 , 7.0 , 2 , N , 0.46 , 0.23
Storm Davis , Athletics , 1993 , 3.0 , 1 , L , 0.0 , 0.22
Bobby Witt , Athletics , 1993 , 3.67 , 6 , L , 0.0 , 0.81
Bob Welch , Athletics , 1993 , 6.33 , 1 , W , 0.51 , 0.11
Shawn Hillegas , Athletics , 1993 , 6.33 , 4 , L , 0.19 , 0.5
Ron Darling , Athletics , 1993 , 4.0 , 1 , N , 0.0 , 0.25
Bobby Witt , Athletics , 1993 , 6.33 , 3 , W , 0.29 , 0.36
Kelly Downs , Athletics , 1993 , 4.33 , 2 , L , 0.0 , 0.38
Bob Welch , Athletics , 1993 , 6.33 , 2 , W , 0.4 , 0.23
Shawn Hillegas , Athletics , 1993 , 5.33 , 5 , N , 0.1 , 0.62
Ron Darling , Athletics , 1993 , 5.0 , 6 , L , 0.08 , 0.7
Bobby Witt , Athletics , 1993 , 9.0 , 0 , W , 0.96 , 0.01
Kelly Downs , Athletics , 1993 , 5.0 , 4 , N , 0.17 , 0.5
Bob Welch , Athletics , 1993 , 5.33 , 5 , N , 0.1 , 0.62
Shawn Hillegas , Athletics , 1993 , 6.67 , 1 , N , 0.62 , 0.09
Ron Darling , Athletics , 1993 , 7.0 , 1 , N , 0.59 , 0.11
Bobby Witt , Athletics , 1993 , 6.0 , 6 , L , 0.08 , 0.74
Bob Welch , Athletics , 1993 , 5.67 , 6 , L , 0.07 , 0.73
