Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Greg Maddux , Braves , 1993 , 8.33 , 0 , W , 0.76 , 0.04
John Smoltz , Braves , 1993 , 8.0 , 1 , L , 0.64 , 0.15
Steve Avery , Braves , 1993 , 7.67 , 2 , N , 0.56 , 0.17
Tom Glavine , Braves , 1993 , 6.0 , 0 , W , 0.66 , 0.04
Pete Smith , Braves , 1993 , 8.0 , 0 , W , 0.76 , 0.04
Greg Maddux , Braves , 1993 , 9.0 , 1 , N , 0.89 , 0.05
John Smoltz , Braves , 1993 , 8.0 , 0 , W , 0.76 , 0.04
Steve Avery , Braves , 1993 , 6.0 , 3 , L , 0.29 , 0.36
Tom Glavine , Braves , 1993 , 8.0 , 2 , W , 0.49 , 0.3
Pete Smith , Braves , 1993 , 5.0 , 3 , L , 0.25 , 0.36
Greg Maddux , Braves , 1993 , 4.0 , 4 , L , 0.0 , 0.6
John Smoltz , Braves , 1993 , 8.0 , 1 , L , 0.64 , 0.15
Steve Avery , Braves , 1993 , 8.0 , 0 , W , 0.76 , 0.04
Tom Glavine , Braves , 1993 , 2.0 , 6 , N , 0.0 , 0.82
Greg Maddux , Braves , 1993 , 8.33 , 4 , W , 0.25 , 0.58
John Smoltz , Braves , 1993 , 7.0 , 4 , W , 0.25 , 0.5
Steve Avery , Braves , 1993 , 5.33 , 4 , L , 0.17 , 0.5
Tom Glavine , Braves , 1993 , 8.0 , 1 , W , 0.64 , 0.15
Pete Smith , Braves , 1993 , 8.0 , 0 , W , 0.76 , 0.04
Greg Maddux , Braves , 1993 , 4.0 , 4 , L , 0.0 , 0.6
John Smoltz , Braves , 1993 , 6.67 , 3 , N , 0.36 , 0.33
Steve Avery , Braves , 1993 , 9.0 , 2 , N , 0.8 , 0.13
Tom Glavine , Braves , 1993 , 8.0 , 1 , N , 0.64 , 0.15
Pete Smith , Braves , 1993 , 6.67 , 4 , L , 0.24 , 0.5
Greg Maddux , Braves , 1993 , 10.0 , 2 , N , 0.29 , 0.23
