Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Jeff Suppan , Brewers , 2009 , 4.0 , 6 , L , 0.0 , 0.79
Yovani Gallardo , Brewers , 2009 , 6.67 , 2 , W , 0.53 , 0.18
Manny Parra , Brewers , 2009 , 4.33 , 5 , L , 0.0 , 0.73
Braden Looper , Brewers , 2009 , 5.0 , 1 , N , 0.47 , 0.13
Dave Bush , Brewers , 2009 , 6.33 , 3 , N , 0.29 , 0.36
Jeff Suppan , Brewers , 2009 , 3.67 , 5 , L , 0.0 , 0.69
Yovani Gallardo , Brewers , 2009 , 5.0 , 7 , L , 0.05 , 0.78
Manny Parra , Brewers , 2009 , 6.0 , 3 , L , 0.29 , 0.36
Braden Looper , Brewers , 2009 , 6.0 , 3 , W , 0.29 , 0.36
Dave Bush , Brewers , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Yovani Gallardo , Brewers , 2009 , 6.0 , 0 , N , 0.66 , 0.04
Jeff Suppan , Brewers , 2009 , 6.0 , 2 , W , 0.4 , 0.23
Manny Parra , Brewers , 2009 , 4.0 , 5 , L , 0.0 , 0.73
Braden Looper , Brewers , 2009 , 6.0 , 0 , W , 0.66 , 0.04
Dave Bush , Brewers , 2009 , 7.67 , 1 , W , 0.72 , 0.08
Yovani Gallardo , Brewers , 2009 , 9.0 , 2 , W , 0.8 , 0.13
Jeff Suppan , Brewers , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Manny Parra , Brewers , 2009 , 5.0 , 1 , L , 0.47 , 0.13
Braden Looper , Brewers , 2009 , 5.0 , 2 , N , 0.35 , 0.24
Dave Bush , Brewers , 2009 , 5.0 , 4 , N , 0.17 , 0.5
Yovani Gallardo , Brewers , 2009 , 8.0 , 0 , W , 0.76 , 0.04
Jeff Suppan , Brewers , 2009 , 6.33 , 1 , N , 0.51 , 0.11
Manny Parra , Brewers , 2009 , 6.0 , 1 , N , 0.51 , 0.11
Braden Looper , Brewers , 2009 , 7.0 , 4 , L , 0.25 , 0.5
Dave Bush , Brewers , 2009 , 7.0 , 3 , N , 0.34 , 0.37
Yovani Gallardo , Brewers , 2009 , 7.0 , 3 , N , 0.34 , 0.37
Jeff Suppan , Brewers , 2009 , 5.67 , 3 , W , 0.29 , 0.35
Manny Parra , Brewers , 2009 , 6.0 , 2 , W , 0.4 , 0.23
Braden Looper , Brewers , 2009 , 3.33 , 5 , L , 0.0 , 0.69
Dave Bush , Brewers , 2009 , 7.0 , 2 , N , 0.46 , 0.23
Yovani Gallardo , Brewers , 2009 , 5.0 , 2 , W , 0.35 , 0.24
Jeff Suppan , Brewers , 2009 , 6.0 , 3 , L , 0.29 , 0.36
Manny Parra , Brewers , 2009 , 6.0 , 3 , W , 0.29 , 0.36
Braden Looper , Brewers , 2009 , 6.0 , 5 , W , 0.13 , 0.61
Dave Bush , Brewers , 2009 , 7.0 , 2 , W , 0.46 , 0.23
Jeff Suppan , Brewers , 2009 , 7.0 , 0 , W , 0.73 , 0.04
Manny Parra , Brewers , 2009 , 6.0 , 2 , W , 0.4 , 0.23
Braden Looper , Brewers , 2009 , 6.0 , 1 , W , 0.51 , 0.11
Dave Bush , Brewers , 2009 , 6.0 , 2 , W , 0.4 , 0.23
Yovani Gallardo , Brewers , 2009 , 5.0 , 6 , L , 0.08 , 0.7
Jeff Suppan , Brewers , 2009 , 5.0 , 3 , N , 0.25 , 0.36
Manny Parra , Brewers , 2009 , 3.33 , 8 , L , 0.0 , 0.92
Braden Looper , Brewers , 2009 , 6.0 , 4 , L , 0.19 , 0.5
Dave Bush , Brewers , 2009 , 6.67 , 4 , L , 0.24 , 0.5
Yovani Gallardo , Brewers , 2009 , 8.0 , 0 , N , 0.76 , 0.04
Jeff Suppan , Brewers , 2009 , 3.67 , 5 , L , 0.0 , 0.69
Manny Parra , Brewers , 2009 , 6.67 , 3 , L , 0.36 , 0.33
Braden Looper , Brewers , 2009 , 7.0 , 2 , W , 0.46 , 0.23
Dave Bush , Brewers , 2009 , 4.0 , 5 , N , 0.0 , 0.73
Yovani Gallardo , Brewers , 2009 , 5.33 , 1 , W , 0.47 , 0.13
Jeff Suppan , Brewers , 2009 , 5.0 , 2 , N , 0.35 , 0.24
Manny Parra , Brewers , 2009 , 4.0 , 10 , L , 0.0 , 0.96
Braden Looper , Brewers , 2009 , 4.67 , 5 , N , 0.0 , 0.66
Dave Bush , Brewers , 2009 , 6.0 , 4 , L , 0.19 , 0.5
Yovani Gallardo , Brewers , 2009 , 8.0 , 0 , W , 0.76 , 0.04
Jeff Suppan , Brewers , 2009 , 5.33 , 0 , W , 0.59 , 0.05
Manny Parra , Brewers , 2009 , 5.67 , 5 , N , 0.13 , 0.61
Braden Looper , Brewers , 2009 , 6.0 , 2 , N , 0.4 , 0.23
Dave Bush , Brewers , 2009 , 5.0 , 3 , L , 0.25 , 0.36
Yovani Gallardo , Brewers , 2009 , 5.0 , 2 , L , 0.35 , 0.24
Jeff Suppan , Brewers , 2009 , 6.67 , 2 , W , 0.53 , 0.18
Manny Parra , Brewers , 2009 , 1.67 , 6 , L , 0.0 , 0.76
Braden Looper , Brewers , 2009 , 6.0 , 4 , N , 0.19 , 0.5
Dave Bush , Brewers , 2009 , 3.33 , 8 , N , 0.0 , 0.92
Yovani Gallardo , Brewers , 2009 , 5.0 , 2 , W , 0.35 , 0.24
Jeff Suppan , Brewers , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Braden Looper , Brewers , 2009 , 3.67 , 7 , L , 0.0 , 0.83
Dave Bush , Brewers , 2009 , 3.0 , 5 , L , 0.0 , 0.69
Yovani Gallardo , Brewers , 2009 , 7.0 , 3 , L , 0.34 , 0.37
Jeff Suppan , Brewers , 2009 , 5.0 , 4 , L , 0.17 , 0.5
Braden Looper , Brewers , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Mike Burns , Brewers , 2009 , 5.67 , 4 , L , 0.17 , 0.51
Yovani Gallardo , Brewers , 2009 , 7.67 , 1 , W , 0.72 , 0.08
Seth McClung , Brewers , 2009 , 4.0 , 3 , N , 0.0 , 0.5
Jeff Suppan , Brewers , 2009 , 5.67 , 5 , L , 0.13 , 0.61
Braden Looper , Brewers , 2009 , 6.33 , 1 , W , 0.51 , 0.11
Mike Burns , Brewers , 2009 , 6.67 , 2 , W , 0.53 , 0.18
Yovani Gallardo , Brewers , 2009 , 7.0 , 1 , L , 0.59 , 0.11
Seth McClung , Brewers , 2009 , 3.33 , 7 , L , 0.0 , 0.84
Jeff Suppan , Brewers , 2009 , 7.0 , 1 , N , 0.59 , 0.11
Braden Looper , Brewers , 2009 , 6.0 , 2 , W , 0.4 , 0.23
Mike Burns , Brewers , 2009 , 4.67 , 7 , L , 0.0 , 0.82
Yovani Gallardo , Brewers , 2009 , 5.0 , 4 , L , 0.17 , 0.5
Jeff Suppan , Brewers , 2009 , 5.67 , 4 , N , 0.17 , 0.51
Manny Parra , Brewers , 2009 , 7.0 , 0 , N , 0.73 , 0.04
Braden Looper , Brewers , 2009 , 6.0 , 5 , N , 0.13 , 0.61
Mike Burns , Brewers , 2009 , 5.0 , 3 , W , 0.25 , 0.36
Yovani Gallardo , Brewers , 2009 , 5.0 , 5 , L , 0.1 , 0.62
Braden Looper , Brewers , 2009 , 5.33 , 3 , W , 0.25 , 0.36
Jeff Suppan , Brewers , 2009 , 6.0 , 0 , L , 0.66 , 0.04
Manny Parra , Brewers , 2009 , 6.0 , 1 , W , 0.51 , 0.11
Yovani Gallardo , Brewers , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Mike Burns , Brewers , 2009 , 3.0 , 4 , L , 0.0 , 0.62
Braden Looper , Brewers , 2009 , 7.0 , 0 , W , 0.73 , 0.04
Jeff Suppan , Brewers , 2009 , 3.33 , 5 , N , 0.0 , 0.69
Manny Parra , Brewers , 2009 , 5.0 , 4 , N , 0.17 , 0.5
Yovani Gallardo , Brewers , 2009 , 7.33 , 0 , W , 0.73 , 0.04
Braden Looper , Brewers , 2009 , 6.0 , 5 , L , 0.13 , 0.61
Jeff Suppan , Brewers , 2009 , 5.33 , 10 , L , 0.0 , 1.0
Carlos Villanueva , Brewers , 2009 , 4.0 , 5 , L , 0.0 , 0.73
Manny Parra , Brewers , 2009 , 6.0 , 5 , W , 0.13 , 0.61
Yovani Gallardo , Brewers , 2009 , 7.0 , 3 , W , 0.34 , 0.37
Braden Looper , Brewers , 2009 , 5.0 , 6 , N , 0.08 , 0.7
Mike Burns , Brewers , 2009 , 5.67 , 3 , L , 0.29 , 0.35
Carlos Villanueva , Brewers , 2009 , 5.0 , 0 , N , 0.59 , 0.05
Manny Parra , Brewers , 2009 , 8.0 , 4 , W , 0.25 , 0.58
Yovani Gallardo , Brewers , 2009 , 5.33 , 9 , L , 0.0 , 0.95
Braden Looper , Brewers , 2009 , 6.67 , 1 , W , 0.62 , 0.09
Carlos Villanueva , Brewers , 2009 , 5.33 , 4 , L , 0.17 , 0.5
Manny Parra , Brewers , 2009 , 5.33 , 3 , W , 0.25 , 0.36
