Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Donovan Osborne , Cardinals , 1999 , 2.0 , 1 , N , 0.0 , 0.25
Kent Bottenfield , Cardinals , 1999 , 6.0 , 1 , W , 0.51 , 0.11
Kent Mercker , Cardinals , 1999 , 5.0 , 3 , W , 0.25 , 0.36
Darren Oliver , Cardinals , 1999 , 7.0 , 2 , L , 0.46 , 0.23
Jose Jimenez , Cardinals , 1999 , 7.0 , 2 , N , 0.46 , 0.23
Donovan Osborne , Cardinals , 1999 , 6.33 , 4 , L , 0.19 , 0.5
Kent Bottenfield , Cardinals , 1999 , 5.33 , 1 , W , 0.47 , 0.13
Kent Mercker , Cardinals , 1999 , 2.0 , 5 , N , 0.0 , 0.75
Darren Oliver , Cardinals , 1999 , 5.67 , 3 , W , 0.29 , 0.35
Jose Jimenez , Cardinals , 1999 , 7.33 , 2 , W , 0.46 , 0.23
Donovan Osborne , Cardinals , 1999 , 6.0 , 2 , N , 0.4 , 0.23
Kent Bottenfield , Cardinals , 1999 , 7.0 , 0 , W , 0.73 , 0.04
Kent Mercker , Cardinals , 1999 , 5.0 , 3 , W , 0.25 , 0.36
Darren Oliver , Cardinals , 1999 , 7.0 , 1 , N , 0.59 , 0.11
Jose Jimenez , Cardinals , 1999 , 7.0 , 3 , W , 0.34 , 0.37
Donovan Osborne , Cardinals , 1999 , 5.0 , 4 , L , 0.17 , 0.5
Kent Bottenfield , Cardinals , 1999 , 5.0 , 2 , W , 0.35 , 0.24
Darren Oliver , Cardinals , 1999 , 8.0 , 4 , W , 0.25 , 0.58
Jose Jimenez , Cardinals , 1999 , 2.0 , 7 , L , 0.0 , 0.88
Kent Mercker , Cardinals , 1999 , 5.0 , 3 , L , 0.25 , 0.36
Kent Bottenfield , Cardinals , 1999 , 6.0 , 1 , N , 0.51 , 0.11
Donovan Osborne , Cardinals , 1999 , 6.0 , 3 , W , 0.29 , 0.36
Darren Oliver , Cardinals , 1999 , 5.0 , 2 , N , 0.35 , 0.24
Jose Jimenez , Cardinals , 1999 , 7.33 , 4 , L , 0.25 , 0.5
Kent Mercker , Cardinals , 1999 , 1.0 , 0 , N , 0.0 , 0.03
Kent Bottenfield , Cardinals , 1999 , 4.33 , 5 , L , 0.0 , 0.73
Donovan Osborne , Cardinals , 1999 , 4.0 , 4 , L , 0.0 , 0.6
Darren Oliver , Cardinals , 1999 , 7.0 , 0 , N , 0.73 , 0.04
Jose Jimenez , Cardinals , 1999 , 5.0 , 6 , L , 0.08 , 0.7
Manny Aybar , Cardinals , 1999 , 3.67 , 9 , L , 0.0 , 0.96
Kent Bottenfield , Cardinals , 1999 , 8.0 , 2 , W , 0.49 , 0.3
Kent Mercker , Cardinals , 1999 , 4.67 , 6 , L , 0.0 , 0.73
Darren Oliver , Cardinals , 1999 , 6.0 , 5 , L , 0.13 , 0.61
Jose Jimenez , Cardinals , 1999 , 6.67 , 6 , L , 0.09 , 0.74
Kent Bottenfield , Cardinals , 1999 , 6.0 , 4 , W , 0.19 , 0.5
Juan Acevedo , Cardinals , 1999 , 2.0 , 3 , N , 0.0 , 0.56
Darren Oliver , Cardinals , 1999 , 7.0 , 2 , W , 0.46 , 0.23
Jose Jimenez , Cardinals , 1999 , 6.67 , 2 , N , 0.53 , 0.18
Kent Bottenfield , Cardinals , 1999 , 6.33 , 4 , W , 0.19 , 0.5
Juan Acevedo , Cardinals , 1999 , 5.0 , 1 , W , 0.47 , 0.13
Clint Sodowsky , Cardinals , 1999 , 3.33 , 8 , L , 0.0 , 0.92
Darren Oliver , Cardinals , 1999 , 5.33 , 3 , W , 0.25 , 0.36
Jose Jimenez , Cardinals , 1999 , 3.67 , 7 , L , 0.0 , 0.83
Kent Bottenfield , Cardinals , 1999 , 3.0 , 6 , L , 0.0 , 0.77
Juan Acevedo , Cardinals , 1999 , 6.0 , 0 , N , 0.66 , 0.04
Lance Painter , Cardinals , 1999 , 4.0 , 2 , L , 0.0 , 0.38
Darren Oliver , Cardinals , 1999 , 6.67 , 2 , N , 0.53 , 0.18
Jose Jimenez , Cardinals , 1999 , 3.0 , 4 , L , 0.0 , 0.62
Kent Bottenfield , Cardinals , 1999 , 5.0 , 2 , W , 0.35 , 0.24
Juan Acevedo , Cardinals , 1999 , 5.33 , 4 , W , 0.17 , 0.5
Lance Painter , Cardinals , 1999 , 4.0 , 3 , L , 0.0 , 0.5
Darren Oliver , Cardinals , 1999 , 6.0 , 4 , L , 0.19 , 0.5
Jose Jimenez , Cardinals , 1999 , 7.0 , 4 , L , 0.25 , 0.5
Kent Bottenfield , Cardinals , 1999 , 6.0 , 2 , W , 0.4 , 0.23
Juan Acevedo , Cardinals , 1999 , 5.67 , 3 , N , 0.29 , 0.35
Lance Painter , Cardinals , 1999 , 5.0 , 2 , N , 0.35 , 0.24
Darren Oliver , Cardinals , 1999 , 5.0 , 7 , L , 0.05 , 0.78
Jose Jimenez , Cardinals , 1999 , 5.0 , 5 , N , 0.1 , 0.62
Kent Bottenfield , Cardinals , 1999 , 7.0 , 3 , L , 0.34 , 0.37
Juan Acevedo , Cardinals , 1999 , 6.0 , 7 , N , 0.07 , 0.81
Lance Painter , Cardinals , 1999 , 5.0 , 1 , N , 0.47 , 0.13
Darren Oliver , Cardinals , 1999 , 7.0 , 6 , L , 0.15 , 0.69
Jose Jimenez , Cardinals , 1999 , 7.67 , 2 , W , 0.56 , 0.17
Kent Bottenfield , Cardinals , 1999 , 5.0 , 2 , W , 0.35 , 0.24
Kent Mercker , Cardinals , 1999 , 6.0 , 4 , L , 0.19 , 0.5
Juan Acevedo , Cardinals , 1999 , 5.67 , 3 , L , 0.29 , 0.35
Darren Oliver , Cardinals , 1999 , 4.0 , 6 , N , 0.0 , 0.79
Jose Jimenez , Cardinals , 1999 , 5.33 , 6 , N , 0.08 , 0.7
Kent Bottenfield , Cardinals , 1999 , 7.0 , 1 , W , 0.59 , 0.11
Kent Mercker , Cardinals , 1999 , 6.0 , 3 , N , 0.29 , 0.36
Juan Acevedo , Cardinals , 1999 , 5.67 , 6 , L , 0.07 , 0.73
Darren Oliver , Cardinals , 1999 , 5.0 , 4 , N , 0.17 , 0.5
Jose Jimenez , Cardinals , 1999 , 9.0 , 0 , W , 0.96 , 0.01
Kent Bottenfield , Cardinals , 1999 , 8.0 , 1 , N , 0.64 , 0.15
Kent Mercker , Cardinals , 1999 , 7.0 , 2 , N , 0.46 , 0.23
Juan Acevedo , Cardinals , 1999 , 5.33 , 4 , N , 0.17 , 0.5
Jose Jimenez , Cardinals , 1999 , 4.33 , 7 , L , 0.0 , 0.83
Kent Bottenfield , Cardinals , 1999 , 5.0 , 4 , W , 0.17 , 0.5
Darren Oliver , Cardinals , 1999 , 4.67 , 6 , L , 0.0 , 0.73
Kent Mercker , Cardinals , 1999 , 5.0 , 0 , N , 0.59 , 0.05
Juan Acevedo , Cardinals , 1999 , 4.0 , 3 , N , 0.0 , 0.5
Jose Jimenez , Cardinals , 1999 , 9.0 , 0 , W , 0.96 , 0.01
Kent Bottenfield , Cardinals , 1999 , 6.0 , 4 , W , 0.19 , 0.5
Darren Oliver , Cardinals , 1999 , 6.0 , 1 , N , 0.51 , 0.11
Kent Mercker , Cardinals , 1999 , 2.33 , 3 , L , 0.0 , 0.56
Juan Acevedo , Cardinals , 1999 , 5.0 , 3 , N , 0.25 , 0.36
Jose Jimenez , Cardinals , 1999 , 7.0 , 3 , L , 0.34 , 0.37
