Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Danny Jackson , Cubs , 1991 , 7.33 , 4 , L , 0.25 , 0.5
Greg Maddux , Cubs , 1991 , 8.0 , 0 , W , 0.76 , 0.04
Mike Harkey , Cubs , 1991 , 4.0 , 4 , L , 0.0 , 0.6
Shawn Boskie , Cubs , 1991 , 6.33 , 3 , L , 0.29 , 0.36
Mike Bielecki , Cubs , 1991 , 8.0 , 0 , W , 0.76 , 0.04
Danny Jackson , Cubs , 1991 , 6.67 , 4 , N , 0.24 , 0.5
Greg Maddux , Cubs , 1991 , 7.0 , 2 , W , 0.46 , 0.23
Mike Harkey , Cubs , 1991 , 6.33 , 3 , N , 0.29 , 0.36
Shawn Boskie , Cubs , 1991 , 6.33 , 0 , W , 0.66 , 0.04
Rick Sutcliffe , Cubs , 1991 , 6.0 , 2 , W , 0.4 , 0.23
Danny Jackson , Cubs , 1991 , 2.0 , 1 , N , 0.0 , 0.25
Greg Maddux , Cubs , 1991 , 5.0 , 5 , L , 0.1 , 0.62
Mike Harkey , Cubs , 1991 , 5.33 , 2 , N , 0.35 , 0.24
Shawn Boskie , Cubs , 1991 , 7.67 , 1 , N , 0.72 , 0.08
Rick Sutcliffe , Cubs , 1991 , 4.67 , 4 , L , 0.0 , 0.6
Mike Bielecki , Cubs , 1991 , 7.0 , 0 , W , 0.73 , 0.04
Greg Maddux , Cubs , 1991 , 6.33 , 4 , N , 0.19 , 0.5
Mike Harkey , Cubs , 1991 , 3.0 , 2 , L , 0.0 , 0.39
Shawn Boskie , Cubs , 1991 , 7.67 , 3 , W , 0.46 , 0.32
Rick Sutcliffe , Cubs , 1991 , 6.0 , 2 , L , 0.4 , 0.23
Mike Bielecki , Cubs , 1991 , 6.0 , 3 , W , 0.29 , 0.36
Greg Maddux , Cubs , 1991 , 8.0 , 4 , W , 0.25 , 0.58
Shawn Boskie , Cubs , 1991 , 5.67 , 4 , L , 0.17 , 0.51
Rick Sutcliffe , Cubs , 1991 , 4.67 , 4 , L , 0.0 , 0.6
Mike Bielecki , Cubs , 1991 , 4.0 , 4 , N , 0.0 , 0.6
