Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Randy Johnson , Diamondbacks , 2003 , 6.67 , 3 , L , 0.36 , 0.33
Curt Schilling , Diamondbacks , 2003 , 7.33 , 4 , N , 0.25 , 0.5
Elmer Dessens , Diamondbacks , 2003 , 5.0 , 4 , L , 0.17 , 0.5
Byung-Hyun Kim , Diamondbacks , 2003 , 5.0 , 2 , L , 0.35 , 0.24
Randy Johnson , Diamondbacks , 2003 , 6.0 , 3 , N , 0.29 , 0.36
Curt Schilling , Diamondbacks , 2003 , 5.0 , 5 , L , 0.1 , 0.62
Elmer Dessens , Diamondbacks , 2003 , 6.0 , 3 , N , 0.29 , 0.36
Oscar Villarreal , Diamondbacks , 2003 , 3.0 , 2 , N , 0.0 , 0.39
Byung-Hyun Kim , Diamondbacks , 2003 , 6.0 , 4 , L , 0.19 , 0.5
Randy Johnson , Diamondbacks , 2003 , 4.67 , 10 , L , 0.0 , 0.88
Curt Schilling , Diamondbacks , 2003 , 6.0 , 2 , L , 0.4 , 0.23
Elmer Dessens , Diamondbacks , 2003 , 6.67 , 2 , W , 0.53 , 0.18
Byung-Hyun Kim , Diamondbacks , 2003 , 6.0 , 1 , L , 0.51 , 0.11
John Patterson , Diamondbacks , 2003 , 4.0 , 5 , L , 0.0 , 0.73
Miguel Batista , Diamondbacks , 2003 , 6.0 , 1 , N , 0.51 , 0.11
Curt Schilling , Diamondbacks , 2003 , 9.0 , 2 , W , 0.8 , 0.13
Elmer Dessens , Diamondbacks , 2003 , 5.0 , 5 , L , 0.1 , 0.62
Byung-Hyun Kim , Diamondbacks , 2003 , 7.0 , 3 , W , 0.34 , 0.37
Miguel Batista , Diamondbacks , 2003 , 4.33 , 0 , N , 0.0 , 0.12
Andy Good , Diamondbacks , 2003 , 4.67 , 4 , L , 0.0 , 0.6
Elmer Dessens , Diamondbacks , 2003 , 6.0 , 1 , W , 0.51 , 0.11
Byung-Hyun Kim , Diamondbacks , 2003 , 7.0 , 1 , L , 0.59 , 0.11
Miguel Batista , Diamondbacks , 2003 , 5.67 , 3 , N , 0.29 , 0.35
Brandon Webb , Diamondbacks , 2003 , 7.0 , 0 , W , 0.73 , 0.04
Randy Johnson , Diamondbacks , 2003 , 6.0 , 2 , W , 0.4 , 0.23
Elmer Dessens , Diamondbacks , 2003 , 7.0 , 1 , W , 0.59 , 0.11
Byung-Hyun Kim , Diamondbacks , 2003 , 5.0 , 5 , L , 0.1 , 0.62
Miguel Batista , Diamondbacks , 2003 , 7.0 , 1 , W , 0.59 , 0.11
Andy Good , Diamondbacks , 2003 , 7.0 , 3 , N , 0.34 , 0.37
Brandon Webb , Diamondbacks , 2003 , 7.0 , 1 , N , 0.59 , 0.11
Curt Schilling , Diamondbacks , 2003 , 5.0 , 5 , N , 0.1 , 0.62
Elmer Dessens , Diamondbacks , 2003 , 6.0 , 4 , N , 0.19 , 0.5
Miguel Batista , Diamondbacks , 2003 , 9.0 , 0 , W , 0.96 , 0.01
Andy Good , Diamondbacks , 2003 , 5.0 , 5 , N , 0.1 , 0.62
Brandon Webb , Diamondbacks , 2003 , 7.0 , 3 , L , 0.34 , 0.37
Curt Schilling , Diamondbacks , 2003 , 9.0 , 0 , W , 0.96 , 0.01
Elmer Dessens , Diamondbacks , 2003 , 6.0 , 4 , L , 0.19 , 0.5
Miguel Batista , Diamondbacks , 2003 , 6.0 , 1 , W , 0.51 , 0.11
Brandon Webb , Diamondbacks , 2003 , 6.0 , 1 , N , 0.51 , 0.11
Curt Schilling , Diamondbacks , 2003 , 9.0 , 0 , W , 0.96 , 0.01
Elmer Dessens , Diamondbacks , 2003 , 5.0 , 2 , N , 0.35 , 0.24
Miguel Batista , Diamondbacks , 2003 , 5.0 , 4 , N , 0.17 , 0.5
Chris Capuano , Diamondbacks , 2003 , 4.67 , 7 , L , 0.0 , 0.82
Brandon Webb , Diamondbacks , 2003 , 7.67 , 3 , W , 0.46 , 0.32
Curt Schilling , Diamondbacks , 2003 , 7.0 , 3 , N , 0.34 , 0.37
Elmer Dessens , Diamondbacks , 2003 , 4.33 , 4 , L , 0.0 , 0.6
Miguel Batista , Diamondbacks , 2003 , 6.0 , 5 , L , 0.13 , 0.61
Brandon Webb , Diamondbacks , 2003 , 6.33 , 2 , N , 0.4 , 0.23
Curt Schilling , Diamondbacks , 2003 , 7.0 , 3 , L , 0.34 , 0.37
Elmer Dessens , Diamondbacks , 2003 , 5.67 , 5 , W , 0.13 , 0.61
Andy Good , Diamondbacks , 2003 , 7.0 , 3 , W , 0.34 , 0.37
Byung-Hyun Kim , Diamondbacks , 2003 , 7.0 , 1 , N , 0.59 , 0.11
John Patterson , Diamondbacks , 2003 , 6.0 , 6 , L , 0.08 , 0.74
Curt Schilling , Diamondbacks , 2003 , 6.67 , 0 , W , 0.74 , 0.04
Elmer Dessens , Diamondbacks , 2003 , 5.0 , 6 , N , 0.08 , 0.7
