Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Fernando Valenzuela , Dodgers , 1988 , 6.0 , 4 , L , 0.19 , 0.5
Orel Hershiser , Dodgers , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Don Sutton , Dodgers , 1988 , 5.33 , 1 , N , 0.47 , 0.13
Tim Leary , Dodgers , 1988 , 5.0 , 3 , W , 0.25 , 0.36
Fernando Valenzuela , Dodgers , 1988 , 8.0 , 3 , W , 0.36 , 0.45
Orel Hershiser , Dodgers , 1988 , 8.33 , 1 , W , 0.64 , 0.15
Don Sutton , Dodgers , 1988 , 4.67 , 4 , L , 0.0 , 0.6
Tim Leary , Dodgers , 1988 , 5.0 , 2 , N , 0.35 , 0.24
Fernando Valenzuela , Dodgers , 1988 , 8.0 , 2 , L , 0.49 , 0.3
Orel Hershiser , Dodgers , 1988 , 9.0 , 2 , W , 0.8 , 0.13
Tim Belcher , Dodgers , 1988 , 7.0 , 2 , W , 0.46 , 0.23
Don Sutton , Dodgers , 1988 , 6.0 , 2 , L , 0.4 , 0.23
Tim Leary , Dodgers , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Orel Hershiser , Dodgers , 1988 , 6.0 , 1 , W , 0.51 , 0.11
Fernando Valenzuela , Dodgers , 1988 , 7.67 , 0 , W , 0.83 , 0.03
Tim Leary , Dodgers , 1988 , 6.0 , 2 , L , 0.4 , 0.23
Don Sutton , Dodgers , 1988 , 6.0 , 0 , W , 0.66 , 0.04
Tim Belcher , Dodgers , 1988 , 5.33 , 3 , L , 0.25 , 0.36
Orel Hershiser , Dodgers , 1988 , 8.0 , 3 , W , 0.36 , 0.45
Fernando Valenzuela , Dodgers , 1988 , 8.0 , 4 , L , 0.25 , 0.58
Tim Leary , Dodgers , 1988 , 0.67 , 6 , L , 0.0 , 0.86
Don Sutton , Dodgers , 1988 , 4.67 , 3 , N , 0.0 , 0.5
Tim Belcher , Dodgers , 1988 , 5.0 , 5 , W , 0.1 , 0.62
Orel Hershiser , Dodgers , 1988 , 6.33 , 2 , W , 0.4 , 0.23
Fernando Valenzuela , Dodgers , 1988 , 9.0 , 2 , W , 0.8 , 0.13
Tim Leary , Dodgers , 1988 , 7.0 , 1 , N , 0.59 , 0.11
