Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Matt Cain , Giants , 2013 , 6.0 , 0 , N , 0.66 , 0.04
Madison Bumgarner , Giants , 2013 , 8.0 , 0 , W , 0.76 , 0.04
Tim Lincecum , Giants , 2013 , 5.0 , 0 , W , 0.59 , 0.05
Barry Zito , Giants , 2013 , 7.0 , 0 , W , 0.73 , 0.04
Ryan Vogelsong , Giants , 2013 , 5.33 , 5 , L , 0.1 , 0.62
Matt Cain , Giants , 2013 , 3.67 , 9 , L , 0.0 , 0.96
Madison Bumgarner , Giants , 2013 , 5.67 , 2 , W , 0.42 , 0.19
Tim Lincecum , Giants , 2013 , 6.0 , 6 , N , 0.08 , 0.74
Barry Zito , Giants , 2013 , 7.0 , 0 , W , 0.73 , 0.04
Ryan Vogelsong , Giants , 2013 , 6.0 , 4 , W , 0.19 , 0.5
Matt Cain , Giants , 2013 , 7.0 , 2 , N , 0.46 , 0.23
Madison Bumgarner , Giants , 2013 , 6.67 , 2 , W , 0.53 , 0.18
Tim Lincecum , Giants , 2013 , 5.0 , 4 , N , 0.17 , 0.5
Barry Zito , Giants , 2013 , 2.67 , 9 , L , 0.0 , 1.0
Ryan Vogelsong , Giants , 2013 , 7.0 , 3 , N , 0.34 , 0.37
Matt Cain , Giants , 2013 , 6.0 , 7 , L , 0.07 , 0.81
Madison Bumgarner , Giants , 2013 , 6.0 , 2 , N , 0.4 , 0.23
Tim Lincecum , Giants , 2013 , 6.67 , 0 , W , 0.74 , 0.04
Barry Zito , Giants , 2013 , 7.0 , 0 , W , 0.73 , 0.04
Ryan Vogelsong , Giants , 2013 , 7.0 , 4 , N , 0.25 , 0.5
Matt Cain , Giants , 2013 , 6.0 , 3 , N , 0.29 , 0.36
Madison Bumgarner , Giants , 2013 , 7.33 , 1 , N , 0.59 , 0.11
Tim Lincecum , Giants , 2013 , 7.0 , 2 , L , 0.46 , 0.23
Barry Zito , Giants , 2013 , 3.67 , 1 , N , 0.0 , 0.44
Ryan Vogelsong , Giants , 2013 , 5.0 , 5 , L , 0.1 , 0.62
Matt Cain , Giants , 2013 , 6.0 , 4 , N , 0.19 , 0.5
Madison Bumgarner , Giants , 2013 , 7.0 , 0 , N , 0.73 , 0.04
Tim Lincecum , Giants , 2013 , 5.0 , 5 , N , 0.1 , 0.62
Barry Zito , Giants , 2013 , 5.0 , 1 , N , 0.47 , 0.13
Ryan Vogelsong , Giants , 2013 , 4.67 , 7 , N , 0.0 , 0.82
Matt Cain , Giants , 2013 , 7.33 , 1 , W , 0.59 , 0.11
Madison Bumgarner , Giants , 2013 , 6.0 , 5 , L , 0.13 , 0.61
Tim Lincecum , Giants , 2013 , 7.0 , 5 , L , 0.18 , 0.64
Barry Zito , Giants , 2013 , 7.0 , 1 , N , 0.59 , 0.11
Ryan Vogelsong , Giants , 2013 , 4.33 , 6 , L , 0.0 , 0.79
Matt Cain , Giants , 2013 , 8.0 , 2 , W , 0.49 , 0.3
Madison Bumgarner , Giants , 2013 , 7.0 , 1 , W , 0.59 , 0.11
Tim Lincecum , Giants , 2013 , 7.0 , 0 , W , 0.73 , 0.04
Barry Zito , Giants , 2013 , 5.67 , 5 , L , 0.13 , 0.61
Ryan Vogelsong , Giants , 2013 , 2.0 , 3 , L , 0.0 , 0.56
Matt Cain , Giants , 2013 , 6.33 , 6 , W , 0.08 , 0.74
Madison Bumgarner , Giants , 2013 , 4.67 , 7 , L , 0.0 , 0.82
Tim Lincecum , Giants , 2013 , 5.0 , 6 , L , 0.08 , 0.7
