Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Cliff Lee , Indians , 2009 , 5.0 , 7 , L , 0.05 , 0.78
Fausto Carmona , Indians , 2009 , 5.0 , 6 , L , 0.08 , 0.7
Carl Pavano , Indians , 2009 , 1.0 , 9 , L , 0.0 , 1.0
Scott Lewis , Indians , 2009 , 4.33 , 4 , N , 0.0 , 0.6
Cliff Lee , Indians , 2009 , 5.0 , 4 , L , 0.17 , 0.5
Anthony Reyes , Indians , 2009 , 6.0 , 4 , W , 0.19 , 0.5
Fausto Carmona , Indians , 2009 , 5.0 , 4 , L , 0.17 , 0.5
Carl Pavano , Indians , 2009 , 6.0 , 4 , L , 0.19 , 0.5
Aaron Laffey , Indians , 2009 , 5.33 , 2 , N , 0.35 , 0.24
Cliff Lee , Indians , 2009 , 6.0 , 1 , W , 0.51 , 0.11
Anthony Reyes , Indians , 2009 , 5.0 , 3 , N , 0.25 , 0.36
Fausto Carmona , Indians , 2009 , 6.0 , 4 , W , 0.19 , 0.5
Carl Pavano , Indians , 2009 , 6.0 , 1 , N , 0.51 , 0.11
Aaron Laffey , Indians , 2009 , 7.0 , 1 , W , 0.59 , 0.11
Cliff Lee , Indians , 2009 , 8.0 , 2 , L , 0.49 , 0.3
Anthony Reyes , Indians , 2009 , 6.0 , 2 , N , 0.4 , 0.23
Fausto Carmona , Indians , 2009 , 6.0 , 4 , L , 0.19 , 0.5
Carl Pavano , Indians , 2009 , 5.0 , 5 , L , 0.1 , 0.62
Aaron Laffey , Indians , 2009 , 6.33 , 2 , W , 0.4 , 0.23
Cliff Lee , Indians , 2009 , 8.0 , 0 , N , 0.76 , 0.04
Anthony Reyes , Indians , 2009 , 2.0 , 7 , N , 0.0 , 0.88
Fausto Carmona , Indians , 2009 , 6.67 , 2 , N , 0.53 , 0.18
Carl Pavano , Indians , 2009 , 7.33 , 2 , W , 0.46 , 0.23
Aaron Laffey , Indians , 2009 , 3.33 , 5 , N , 0.0 , 0.69
Cliff Lee , Indians , 2009 , 7.0 , 3 , L , 0.34 , 0.37
Fausto Carmona , Indians , 2009 , 6.67 , 4 , N , 0.24 , 0.5
Anthony Reyes , Indians , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Carl Pavano , Indians , 2009 , 6.0 , 2 , W , 0.4 , 0.23
Jeremy Sowers , Indians , 2009 , 5.0 , 7 , L , 0.05 , 0.78
Cliff Lee , Indians , 2009 , 8.0 , 1 , L , 0.64 , 0.15
Fausto Carmona , Indians , 2009 , 6.67 , 2 , L , 0.53 , 0.18
Anthony Reyes , Indians , 2009 , 5.0 , 5 , L , 0.1 , 0.62
Carl Pavano , Indians , 2009 , 6.33 , 4 , W , 0.19 , 0.5
Jeremy Sowers , Indians , 2009 , 4.0 , 5 , L , 0.0 , 0.73
Cliff Lee , Indians , 2009 , 7.0 , 0 , W , 0.73 , 0.04
Fausto Carmona , Indians , 2009 , 5.33 , 4 , W , 0.17 , 0.5
Anthony Reyes , Indians , 2009 , 5.33 , 3 , N , 0.25 , 0.36
Carl Pavano , Indians , 2009 , 5.0 , 3 , L , 0.25 , 0.36
David Huff , Indians , 2009 , 3.67 , 7 , L , 0.0 , 0.83
Cliff Lee , Indians , 2009 , 8.0 , 2 , N , 0.49 , 0.3
Fausto Carmona , Indians , 2009 , 6.0 , 4 , N , 0.19 , 0.5
Carl Pavano , Indians , 2009 , 6.0 , 3 , W , 0.29 , 0.36
Anthony Reyes , Indians , 2009 , 3.0 , 1 , N , 0.0 , 0.22
David Huff , Indians , 2009 , 3.0 , 6 , N , 0.0 , 0.77
Cliff Lee , Indians , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Fausto Carmona , Indians , 2009 , 1.33 , 5 , N , 0.0 , 0.72
Carl Pavano , Indians , 2009 , 7.0 , 1 , W , 0.59 , 0.11
Zach Jackson , Indians , 2009 , 4.0 , 6 , N , 0.0 , 0.79
David Huff , Indians , 2009 , 4.0 , 0 , N , 0.0 , 0.12
Cliff Lee , Indians , 2009 , 6.0 , 3 , L , 0.29 , 0.36
Fausto Carmona , Indians , 2009 , 4.0 , 4 , L , 0.0 , 0.6
Carl Pavano , Indians , 2009 , 7.33 , 3 , N , 0.34 , 0.37
Jeremy Sowers , Indians , 2009 , 5.0 , 1 , N , 0.47 , 0.13
David Huff , Indians , 2009 , 5.0 , 4 , L , 0.17 , 0.5
Cliff Lee , Indians , 2009 , 8.0 , 1 , W , 0.64 , 0.15
Fausto Carmona , Indians , 2009 , 2.0 , 7 , L , 0.0 , 0.88
Carl Pavano , Indians , 2009 , 9.0 , 0 , W , 0.96 , 0.01
Jeremy Sowers , Indians , 2009 , 6.0 , 2 , L , 0.4 , 0.23
David Huff , Indians , 2009 , 5.0 , 3 , W , 0.25 , 0.36
Cliff Lee , Indians , 2009 , 6.0 , 4 , N , 0.19 , 0.5
Carl Pavano , Indians , 2009 , 4.67 , 9 , L , 0.0 , 0.86
Jeremy Sowers , Indians , 2009 , 5.0 , 2 , N , 0.35 , 0.24
David Huff , Indians , 2009 , 7.33 , 3 , W , 0.34 , 0.37
Tomo Ohka , Indians , 2009 , 7.0 , 2 , L , 0.46 , 0.23
Cliff Lee , Indians , 2009 , 9.0 , 0 , W , 0.96 , 0.01
Carl Pavano , Indians , 2009 , 5.0 , 6 , N , 0.08 , 0.7
Jeremy Sowers , Indians , 2009 , 5.0 , 3 , L , 0.25 , 0.36
David Huff , Indians , 2009 , 5.0 , 3 , N , 0.25 , 0.36
Cliff Lee , Indians , 2009 , 7.0 , 3 , N , 0.34 , 0.37
Tomo Ohka , Indians , 2009 , 6.0 , 4 , N , 0.19 , 0.5
Jeremy Sowers , Indians , 2009 , 4.33 , 6 , L , 0.0 , 0.79
David Huff , Indians , 2009 , 8.0 , 0 , W , 0.76 , 0.04
Carl Pavano , Indians , 2009 , 3.67 , 3 , L , 0.0 , 0.51
Cliff Lee , Indians , 2009 , 7.0 , 2 , N , 0.46 , 0.23
Jeremy Sowers , Indians , 2009 , 7.0 , 2 , W , 0.46 , 0.23
Tomo Ohka , Indians , 2009 , 4.0 , 6 , L , 0.0 , 0.79
David Huff , Indians , 2009 , 5.0 , 6 , L , 0.08 , 0.7
Carl Pavano , Indians , 2009 , 7.0 , 2 , L , 0.46 , 0.23
Cliff Lee , Indians , 2009 , 3.0 , 7 , L , 0.0 , 0.84
Jeremy Sowers , Indians , 2009 , 6.0 , 5 , L , 0.13 , 0.61
David Huff , Indians , 2009 , 6.0 , 3 , W , 0.29 , 0.36
Carl Pavano , Indians , 2009 , 6.67 , 2 , W , 0.53 , 0.18
Cliff Lee , Indians , 2009 , 6.0 , 3 , L , 0.29 , 0.36
Jeremy Sowers , Indians , 2009 , 5.33 , 4 , L , 0.17 , 0.5
Aaron Laffey , Indians , 2009 , 6.0 , 4 , L , 0.19 , 0.5
David Huff , Indians , 2009 , 4.33 , 7 , N , 0.0 , 0.83
Cliff Lee , Indians , 2009 , 7.0 , 3 , L , 0.34 , 0.37
Carl Pavano , Indians , 2009 , 8.0 , 2 , W , 0.49 , 0.3
Tomo Ohka , Indians , 2009 , 3.67 , 5 , L , 0.0 , 0.69
Cliff Lee , Indians , 2009 , 9.0 , 1 , W , 0.89 , 0.05
David Huff , Indians , 2009 , 5.0 , 3 , L , 0.25 , 0.36
Tomo Ohka , Indians , 2009 , 7.0 , 3 , L , 0.34 , 0.37
Aaron Laffey , Indians , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Cliff Lee , Indians , 2009 , 9.0 , 1 , W , 0.89 , 0.05
Carl Pavano , Indians , 2009 , 4.67 , 7 , L , 0.0 , 0.82
David Huff , Indians , 2009 , 7.67 , 4 , W , 0.32 , 0.44
Aaron Laffey , Indians , 2009 , 7.0 , 0 , W , 0.73 , 0.04
Jeremy Sowers , Indians , 2009 , 7.0 , 0 , W , 0.73 , 0.04
Cliff Lee , Indians , 2009 , 7.0 , 2 , W , 0.46 , 0.23
Carl Pavano , Indians , 2009 , 6.0 , 6 , N , 0.08 , 0.74
David Huff , Indians , 2009 , 7.0 , 5 , L , 0.18 , 0.64
Aaron Laffey , Indians , 2009 , 4.0 , 4 , L , 0.0 , 0.6
Fausto Carmona , Indians , 2009 , 5.0 , 2 , N , 0.35 , 0.24
Jeremy Sowers , Indians , 2009 , 6.0 , 2 , N , 0.4 , 0.23
Carl Pavano , Indians , 2009 , 8.0 , 1 , W , 0.64 , 0.15
David Huff , Indians , 2009 , 4.67 , 7 , L , 0.0 , 0.82
Aaron Laffey , Indians , 2009 , 8.0 , 0 , W , 0.76 , 0.04
Fausto Carmona , Indians , 2009 , 6.0 , 1 , N , 0.51 , 0.11
Jeremy Sowers , Indians , 2009 , 7.0 , 2 , W , 0.46 , 0.23
Justin Masterson , Indians , 2009 , 4.0 , 1 , N , 0.0 , 0.25
David Huff , Indians , 2009 , 6.33 , 4 , W , 0.19 , 0.5
Aaron Laffey , Indians , 2009 , 6.67 , 0 , W , 0.74 , 0.04
Fausto Carmona , Indians , 2009 , 6.0 , 2 , L , 0.4 , 0.23
Jeremy Sowers , Indians , 2009 , 5.33 , 4 , L , 0.17 , 0.5
Justin Masterson , Indians , 2009 , 3.33 , 6 , L , 0.0 , 0.77
David Huff , Indians , 2009 , 5.0 , 2 , W , 0.35 , 0.24
Aaron Laffey , Indians , 2009 , 5.33 , 3 , W , 0.25 , 0.36
Fausto Carmona , Indians , 2009 , 5.0 , 3 , L , 0.25 , 0.36
Jeremy Sowers , Indians , 2009 , 6.67 , 3 , L , 0.36 , 0.33
Justin Masterson , Indians , 2009 , 6.33 , 0 , W , 0.66 , 0.04
David Huff , Indians , 2009 , 3.33 , 5 , L , 0.0 , 0.69
