Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Dave Lemanczyk , Jays , 1980 , 0.67 , 2 , L , 0.0 , 0.48
Dave Stieb , Jays , 1980 , 6.0 , 1 , N , 0.51 , 0.11
Paul Mirabella , Jays , 1980 , 7.0 , 1 , N , 0.59 , 0.11
Dave Lemanczyk , Jays , 1980 , 5.67 , 3 , L , 0.29 , 0.35
Dave Stieb , Jays , 1980 , 9.0 , 2 , W , 0.8 , 0.13
Paul Mirabella , Jays , 1980 , 9.0 , 0 , W , 0.96 , 0.01
Jim Clancy , Jays , 1980 , 4.0 , 3 , L , 0.0 , 0.5
Dave Lemanczyk , Jays , 1980 , 6.0 , 3 , W , 0.29 , 0.36
Dave Stieb , Jays , 1980 , 9.0 , 1 , W , 0.89 , 0.05
Paul Mirabella , Jays , 1980 , 5.0 , 3 , L , 0.25 , 0.36
Jim Clancy , Jays , 1980 , 5.33 , 2 , N , 0.35 , 0.24
Dave Lemanczyk , Jays , 1980 , 4.67 , 3 , N , 0.0 , 0.5
Dave Stieb , Jays , 1980 , 9.0 , 0 , W , 0.96 , 0.01
Paul Mirabella , Jays , 1980 , 5.0 , 0 , W , 0.59 , 0.05
Jim Clancy , Jays , 1980 , 9.0 , 1 , W , 0.89 , 0.05
Jesse Jefferson , Jays , 1980 , 7.67 , 2 , L , 0.56 , 0.17
Dave Lemanczyk , Jays , 1980 , 7.0 , 2 , L , 0.46 , 0.23
Dave Stieb , Jays , 1980 , 6.33 , 5 , L , 0.13 , 0.61
Paul Mirabella , Jays , 1980 , 3.33 , 2 , N , 0.0 , 0.39
Jim Clancy , Jays , 1980 , 7.0 , 5 , N , 0.18 , 0.64
Jesse Jefferson , Jays , 1980 , 5.67 , 2 , W , 0.42 , 0.19
Dave Lemanczyk , Jays , 1980 , 7.33 , 2 , W , 0.46 , 0.23
Dave Stieb , Jays , 1980 , 9.0 , 3 , W , 0.7 , 0.23
Paul Mirabella , Jays , 1980 , 8.0 , 2 , W , 0.49 , 0.3
Jim Clancy , Jays , 1980 , 8.0 , 3 , N , 0.36 , 0.45
Dave Lemanczyk , Jays , 1980 , 3.33 , 5 , L , 0.0 , 0.69
Paul Mirabella , Jays , 1980 , 5.0 , 4 , L , 0.17 , 0.5
Jim Clancy , Jays , 1980 , 9.0 , 0 , W , 0.96 , 0.01
Jesse Jefferson , Jays , 1980 , 11.0 , 0 , W , 0.37 , 0.03
Dave Stieb , Jays , 1980 , 12.0 , 2 , N , 0.29 , 0.23
Paul Mirabella , Jays , 1980 , 9.0 , 1 , W , 0.89 , 0.05
Jim Clancy , Jays , 1980 , 9.0 , 2 , W , 0.8 , 0.13
Dave Lemanczyk , Jays , 1980 , 0.33 , 2 , L , 0.0 , 0.53
Jesse Jefferson , Jays , 1980 , 3.0 , 5 , L , 0.0 , 0.69
Dave Stieb , Jays , 1980 , 7.33 , 5 , L , 0.18 , 0.64
Paul Mirabella , Jays , 1980 , 3.0 , 5 , L , 0.0 , 0.69
Jim Clancy , Jays , 1980 , 6.67 , 3 , L , 0.36 , 0.33
Luis Leal , Jays , 1980 , 7.67 , 3 , W , 0.46 , 0.32
Jesse Jefferson , Jays , 1980 , 6.33 , 1 , N , 0.51 , 0.11
Paul Mirabella , Jays , 1980 , 6.67 , 2 , N , 0.53 , 0.18
Dave Stieb , Jays , 1980 , 6.0 , 1 , W , 0.51 , 0.11
Jim Clancy , Jays , 1980 , 6.67 , 1 , L , 0.62 , 0.09
Jesse Jefferson , Jays , 1980 , 2.0 , 4 , N , 0.0 , 0.59
Paul Mirabella , Jays , 1980 , 4.67 , 5 , L , 0.0 , 0.66
Luis Leal , Jays , 1980 , 0.33 , 3 , L , 0.0 , 0.74
Dave Stieb , Jays , 1980 , 2.33 , 5 , N , 0.0 , 0.75
Jim Clancy , Jays , 1980 , 9.0 , 2 , W , 0.8 , 0.13
Paul Mirabella , Jays , 1980 , 3.67 , 3 , L , 0.0 , 0.51
Dave Stieb , Jays , 1980 , 8.0 , 3 , L , 0.36 , 0.45
Jesse Jefferson , Jays , 1980 , 3.0 , 3 , L , 0.0 , 0.47
Luis Leal , Jays , 1980 , 6.67 , 4 , N , 0.24 , 0.5
Jim Clancy , Jays , 1980 , 9.0 , 0 , W , 0.96 , 0.01
Paul Mirabella , Jays , 1980 , 4.0 , 5 , L , 0.0 , 0.73
Dave Stieb , Jays , 1980 , 6.67 , 6 , L , 0.09 , 0.74
Luis Leal , Jays , 1980 , 3.67 , 3 , N , 0.0 , 0.51
