Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Freddy Garcia , Mariners , 2001 , 3.33 , 4 , N , 0.0 , 0.62
John Halama , Mariners , 2001 , 3.33 , 5 , L , 0.0 , 0.69
Aaron Sele , Mariners , 2001 , 6.0 , 2 , W , 0.4 , 0.23
Jamie Moyer , Mariners , 2001 , 5.0 , 2 , N , 0.35 , 0.24
Brett Tomko , Mariners , 2001 , 3.33 , 3 , N , 0.0 , 0.47
Freddy Garcia , Mariners , 2001 , 6.0 , 3 , N , 0.29 , 0.36
John Halama , Mariners , 2001 , 6.33 , 1 , W , 0.51 , 0.11
Aaron Sele , Mariners , 2001 , 8.0 , 0 , W , 0.76 , 0.04
Jamie Moyer , Mariners , 2001 , 5.33 , 3 , W , 0.25 , 0.36
Brett Tomko , Mariners , 2001 , 5.0 , 2 , N , 0.35 , 0.24
Freddy Garcia , Mariners , 2001 , 7.67 , 1 , W , 0.72 , 0.08
John Halama , Mariners , 2001 , 6.33 , 2 , N , 0.4 , 0.23
Aaron Sele , Mariners , 2001 , 2.0 , 4 , N , 0.0 , 0.59
Jamie Moyer , Mariners , 2001 , 6.67 , 4 , W , 0.24 , 0.5
Brett Tomko , Mariners , 2001 , 5.0 , 7 , L , 0.05 , 0.78
Freddy Garcia , Mariners , 2001 , 7.0 , 1 , W , 0.59 , 0.11
John Halama , Mariners , 2001 , 7.0 , 1 , W , 0.59 , 0.11
Jamie Moyer , Mariners , 2001 , 5.0 , 1 , W , 0.47 , 0.13
Aaron Sele , Mariners , 2001 , 6.0 , 0 , W , 0.66 , 0.04
Freddy Garcia , Mariners , 2001 , 7.0 , 5 , W , 0.18 , 0.64
John Halama , Mariners , 2001 , 4.0 , 4 , N , 0.0 , 0.6
Jamie Moyer , Mariners , 2001 , 6.0 , 2 , W , 0.4 , 0.23
Aaron Sele , Mariners , 2001 , 7.0 , 3 , W , 0.34 , 0.37
Paul Abbott , Mariners , 2001 , 4.33 , 3 , N , 0.0 , 0.5
Freddy Garcia , Mariners , 2001 , 8.33 , 1 , N , 0.64 , 0.15
John Halama , Mariners , 2001 , 8.0 , 1 , L , 0.64 , 0.15
Aaron Sele , Mariners , 2001 , 7.0 , 1 , W , 0.59 , 0.11
Jamie Moyer , Mariners , 2001 , 7.0 , 3 , W , 0.34 , 0.37
Paul Abbott , Mariners , 2001 , 5.67 , 4 , L , 0.17 , 0.51
Freddy Garcia , Mariners , 2001 , 5.0 , 4 , N , 0.17 , 0.5
John Halama , Mariners , 2001 , 5.0 , 1 , L , 0.47 , 0.13
Jamie Moyer , Mariners , 2001 , 3.33 , 6 , L , 0.0 , 0.77
Aaron Sele , Mariners , 2001 , 5.0 , 3 , N , 0.25 , 0.36
John Halama , Mariners , 2001 , 5.33 , 1 , W , 0.47 , 0.13
Paul Abbott , Mariners , 2001 , 5.33 , 1 , W , 0.47 , 0.13
Freddy Garcia , Mariners , 2001 , 4.67 , 6 , N , 0.0 , 0.73
Jamie Moyer , Mariners , 2001 , 6.0 , 5 , W , 0.13 , 0.61
Aaron Sele , Mariners , 2001 , 6.33 , 3 , N , 0.29 , 0.36
Paul Abbott , Mariners , 2001 , 6.33 , 2 , W , 0.4 , 0.23
Freddy Garcia , Mariners , 2001 , 7.67 , 1 , W , 0.72 , 0.08
John Halama , Mariners , 2001 , 3.0 , 6 , L , 0.0 , 0.77
Jamie Moyer , Mariners , 2001 , 7.0 , 0 , N , 0.73 , 0.04
Aaron Sele , Mariners , 2001 , 7.67 , 2 , W , 0.56 , 0.17
Paul Abbott , Mariners , 2001 , 2.67 , 8 , L , 0.0 , 0.93
Freddy Garcia , Mariners , 2001 , 6.67 , 4 , N , 0.24 , 0.5
John Halama , Mariners , 2001 , 2.0 , 5 , N , 0.0 , 0.75
Aaron Sele , Mariners , 2001 , 7.0 , 2 , W , 0.46 , 0.23
Jamie Moyer , Mariners , 2001 , 6.67 , 3 , N , 0.36 , 0.33
Paul Abbott , Mariners , 2001 , 9.0 , 3 , W , 0.7 , 0.23
Freddy Garcia , Mariners , 2001 , 7.0 , 1 , W , 0.59 , 0.11
John Halama , Mariners , 2001 , 6.0 , 2 , W , 0.4 , 0.23
Aaron Sele , Mariners , 2001 , 7.33 , 1 , W , 0.59 , 0.11
Jamie Moyer , Mariners , 2001 , 5.0 , 4 , W , 0.17 , 0.5
Paul Abbott , Mariners , 2001 , 5.0 , 2 , W , 0.35 , 0.24
Freddy Garcia , Mariners , 2001 , 7.33 , 4 , W , 0.25 , 0.5
John Halama , Mariners , 2001 , 2.33 , 6 , N , 0.0 , 0.82
Aaron Sele , Mariners , 2001 , 7.0 , 4 , N , 0.25 , 0.5
Jamie Moyer , Mariners , 2001 , 7.0 , 0 , W , 0.73 , 0.04
Paul Abbott , Mariners , 2001 , 7.67 , 1 , W , 0.72 , 0.08
Freddy Garcia , Mariners , 2001 , 6.33 , 4 , L , 0.19 , 0.5
John Halama , Mariners , 2001 , 7.0 , 0 , W , 0.73 , 0.04
Aaron Sele , Mariners , 2001 , 5.33 , 3 , N , 0.25 , 0.36
Jamie Moyer , Mariners , 2001 , 5.33 , 6 , L , 0.08 , 0.7
Paul Abbott , Mariners , 2001 , 7.0 , 1 , W , 0.59 , 0.11
Freddy Garcia , Mariners , 2001 , 8.0 , 0 , W , 0.76 , 0.04
John Halama , Mariners , 2001 , 5.0 , 2 , W , 0.35 , 0.24
Aaron Sele , Mariners , 2001 , 4.0 , 6 , N , 0.0 , 0.79
Jamie Moyer , Mariners , 2001 , 6.0 , 2 , N , 0.4 , 0.23
Paul Abbott , Mariners , 2001 , 6.0 , 5 , N , 0.13 , 0.61
Freddy Garcia , Mariners , 2001 , 7.67 , 2 , N , 0.56 , 0.17
John Halama , Mariners , 2001 , 2.33 , 4 , N , 0.0 , 0.59
Aaron Sele , Mariners , 2001 , 5.33 , 3 , L , 0.25 , 0.36
Jamie Moyer , Mariners , 2001 , 8.0 , 2 , L , 0.49 , 0.3
Paul Abbott , Mariners , 2001 , 6.67 , 3 , W , 0.36 , 0.33
Freddy Garcia , Mariners , 2001 , 6.67 , 3 , W , 0.36 , 0.33
John Halama , Mariners , 2001 , 5.0 , 6 , L , 0.08 , 0.7
Aaron Sele , Mariners , 2001 , 6.67 , 3 , N , 0.36 , 0.33
Jamie Moyer , Mariners , 2001 , 5.0 , 5 , W , 0.1 , 0.62
Denny Stark , Mariners , 2001 , 5.67 , 3 , W , 0.29 , 0.35
Freddy Garcia , Mariners , 2001 , 9.0 , 0 , W , 0.96 , 0.01
Paul Abbott , Mariners , 2001 , 6.0 , 4 , N , 0.19 , 0.5
Aaron Sele , Mariners , 2001 , 6.67 , 3 , W , 0.36 , 0.33
Jamie Moyer , Mariners , 2001 , 6.0 , 5 , L , 0.13 , 0.61
Denny Stark , Mariners , 2001 , 3.0 , 9 , L , 0.0 , 0.96
Freddy Garcia , Mariners , 2001 , 9.0 , 0 , W , 0.96 , 0.01
Paul Abbott , Mariners , 2001 , 5.67 , 1 , N , 0.51 , 0.12
Aaron Sele , Mariners , 2001 , 8.0 , 2 , W , 0.49 , 0.3
Paul Abbott , Mariners , 2001 , 5.67 , 3 , N , 0.29 , 0.35
Jamie Moyer , Mariners , 2001 , 6.0 , 3 , L , 0.29 , 0.36
Freddy Garcia , Mariners , 2001 , 7.0 , 2 , W , 0.46 , 0.23
