Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Ryan Dempster , Marlins , 2002 , 7.33 , 3 , N , 0.34 , 0.37
A.J. Burnett , Marlins , 2002 , 7.67 , 1 , W , 0.72 , 0.08
Brad Penny , Marlins , 2002 , 9.0 , 0 , W , 0.96 , 0.01
Julian Tavarez , Marlins , 2002 , 3.0 , 6 , L , 0.0 , 0.77
Josh Beckett , Marlins , 2002 , 6.67 , 2 , N , 0.53 , 0.18
Ryan Dempster , Marlins , 2002 , 8.0 , 1 , N , 0.64 , 0.15
A.J. Burnett , Marlins , 2002 , 5.0 , 6 , L , 0.08 , 0.7
Brad Penny , Marlins , 2002 , 4.67 , 7 , L , 0.0 , 0.82
Julian Tavarez , Marlins , 2002 , 5.67 , 4 , W , 0.17 , 0.51
Josh Beckett , Marlins , 2002 , 6.0 , 2 , L , 0.4 , 0.23
Ryan Dempster , Marlins , 2002 , 7.0 , 4 , N , 0.25 , 0.5
A.J. Burnett , Marlins , 2002 , 9.0 , 0 , W , 0.96 , 0.01
Julian Tavarez , Marlins , 2002 , 6.0 , 6 , N , 0.08 , 0.74
Brad Penny , Marlins , 2002 , 5.0 , 3 , N , 0.25 , 0.36
Josh Beckett , Marlins , 2002 , 5.0 , 3 , N , 0.25 , 0.36
Ryan Dempster , Marlins , 2002 , 8.0 , 3 , L , 0.36 , 0.45
A.J. Burnett , Marlins , 2002 , 6.0 , 0 , L , 0.66 , 0.04
Kevin Olsen , Marlins , 2002 , 4.0 , 3 , L , 0.0 , 0.5
Brad Penny , Marlins , 2002 , 6.0 , 2 , W , 0.4 , 0.23
Josh Beckett , Marlins , 2002 , 7.0 , 0 , N , 0.73 , 0.04
Ryan Dempster , Marlins , 2002 , 6.33 , 7 , L , 0.07 , 0.81
A.J. Burnett , Marlins , 2002 , 7.0 , 3 , W , 0.34 , 0.37
Kevin Olsen , Marlins , 2002 , 4.33 , 2 , L , 0.0 , 0.38
Brad Penny , Marlins , 2002 , 7.0 , 3 , W , 0.34 , 0.37
Josh Beckett , Marlins , 2002 , 6.0 , 5 , L , 0.13 , 0.61
A.J. Burnett , Marlins , 2002 , 8.0 , 0 , W , 0.76 , 0.04
Ryan Dempster , Marlins , 2002 , 6.0 , 2 , L , 0.4 , 0.23
Brad Penny , Marlins , 2002 , 2.0 , 1 , N , 0.0 , 0.25
Kevin Olsen , Marlins , 2002 , 5.0 , 2 , N , 0.35 , 0.24
Nate Teut , Marlins , 2002 , 4.33 , 5 , L , 0.0 , 0.73
A.J. Burnett , Marlins , 2002 , 7.0 , 4 , W , 0.25 , 0.5
Ryan Dempster , Marlins , 2002 , 6.33 , 3 , W , 0.29 , 0.36
Kevin Olsen , Marlins , 2002 , 4.0 , 1 , N , 0.0 , 0.25
Hansel Izquierdo , Marlins , 2002 , 5.0 , 0 , W , 0.59 , 0.05
A.J. Burnett , Marlins , 2002 , 8.0 , 2 , N , 0.49 , 0.3
Julian Tavarez , Marlins , 2002 , 4.0 , 2 , L , 0.0 , 0.38
Ryan Dempster , Marlins , 2002 , 9.0 , 3 , W , 0.7 , 0.23
Brad Penny , Marlins , 2002 , 5.0 , 0 , L , 0.59 , 0.05
Josh Beckett , Marlins , 2002 , 6.0 , 2 , W , 0.4 , 0.23
A.J. Burnett , Marlins , 2002 , 6.67 , 5 , L , 0.17 , 0.6
Julian Tavarez , Marlins , 2002 , 4.0 , 10 , L , 0.0 , 0.96
Ryan Dempster , Marlins , 2002 , 7.0 , 4 , L , 0.25 , 0.5
Brad Penny , Marlins , 2002 , 3.0 , 6 , L , 0.0 , 0.77
Josh Beckett , Marlins , 2002 , 7.0 , 1 , W , 0.59 , 0.11
A.J. Burnett , Marlins , 2002 , 5.0 , 6 , L , 0.08 , 0.7
Ryan Dempster , Marlins , 2002 , 6.0 , 5 , L , 0.13 , 0.61
Julian Tavarez , Marlins , 2002 , 5.0 , 3 , W , 0.25 , 0.36
Josh Beckett , Marlins , 2002 , 6.0 , 1 , N , 0.51 , 0.11
Kevin Olsen , Marlins , 2002 , 5.0 , 4 , N , 0.17 , 0.5
A.J. Burnett , Marlins , 2002 , 7.0 , 3 , L , 0.34 , 0.37
Ryan Dempster , Marlins , 2002 , 6.33 , 2 , W , 0.4 , 0.23
Julian Tavarez , Marlins , 2002 , 7.0 , 4 , N , 0.25 , 0.5
Josh Beckett , Marlins , 2002 , 1.0 , 7 , L , 0.0 , 0.94
Kevin Olsen , Marlins , 2002 , 7.0 , 2 , L , 0.46 , 0.23
A.J. Burnett , Marlins , 2002 , 5.0 , 3 , N , 0.25 , 0.36
Ryan Dempster , Marlins , 2002 , 6.0 , 5 , N , 0.13 , 0.61
Julian Tavarez , Marlins , 2002 , 6.0 , 2 , W , 0.4 , 0.23
Josh Beckett , Marlins , 2002 , 3.0 , 0 , N , 0.0 , 0.02
A.J. Burnett , Marlins , 2002 , 9.0 , 1 , W , 0.89 , 0.05
Ryan Dempster , Marlins , 2002 , 4.0 , 10 , L , 0.0 , 0.96
Kevin Olsen , Marlins , 2002 , 4.33 , 4 , L , 0.0 , 0.6
Julian Tavarez , Marlins , 2002 , 6.0 , 2 , W , 0.4 , 0.23
A.J. Burnett , Marlins , 2002 , 7.0 , 5 , N , 0.18 , 0.64
Michael Tejera , Marlins , 2002 , 4.0 , 4 , L , 0.0 , 0.6
Ryan Dempster , Marlins , 2002 , 6.0 , 4 , W , 0.19 , 0.5
Julian Tavarez , Marlins , 2002 , 8.0 , 1 , N , 0.64 , 0.15
A.J. Burnett , Marlins , 2002 , 9.0 , 0 , W , 0.96 , 0.01
Michael Tejera , Marlins , 2002 , 6.0 , 0 , N , 0.66 , 0.04
Ryan Dempster , Marlins , 2002 , 6.0 , 0 , W , 0.66 , 0.04
Julian Tavarez , Marlins , 2002 , 7.0 , 1 , W , 0.59 , 0.11
A.J. Burnett , Marlins , 2002 , 6.0 , 0 , W , 0.66 , 0.04
Michael Tejera , Marlins , 2002 , 7.0 , 1 , W , 0.59 , 0.11
Hansel Izquierdo , Marlins , 2002 , 2.0 , 3 , N , 0.0 , 0.56
Ryan Dempster , Marlins , 2002 , 7.0 , 1 , N , 0.59 , 0.11
Julian Tavarez , Marlins , 2002 , 5.0 , 4 , L , 0.17 , 0.5
A.J. Burnett , Marlins , 2002 , 6.0 , 4 , N , 0.19 , 0.5
Michael Tejera , Marlins , 2002 , 5.0 , 1 , W , 0.47 , 0.13
Kevin Olsen , Marlins , 2002 , 4.0 , 4 , L , 0.0 , 0.6
Ryan Dempster , Marlins , 2002 , 8.0 , 4 , L , 0.25 , 0.58
Julian Tavarez , Marlins , 2002 , 6.33 , 1 , W , 0.51 , 0.11
A.J. Burnett , Marlins , 2002 , 9.0 , 3 , N , 0.7 , 0.23
Michael Tejera , Marlins , 2002 , 7.0 , 1 , W , 0.59 , 0.11
Brad Penny , Marlins , 2002 , 4.33 , 4 , N , 0.0 , 0.6
Ryan Dempster , Marlins , 2002 , 6.0 , 3 , L , 0.29 , 0.36
Julian Tavarez , Marlins , 2002 , 6.0 , 5 , W , 0.13 , 0.61
A.J. Burnett , Marlins , 2002 , 6.0 , 3 , L , 0.29 , 0.36
Michael Tejera , Marlins , 2002 , 7.33 , 2 , W , 0.46 , 0.23
Brad Penny , Marlins , 2002 , 3.0 , 2 , N , 0.0 , 0.39
A.J. Burnett , Marlins , 2002 , 6.0 , 4 , N , 0.19 , 0.5
Julian Tavarez , Marlins , 2002 , 4.0 , 5 , L , 0.0 , 0.73
Michael Tejera , Marlins , 2002 , 6.0 , 4 , L , 0.19 , 0.5
Brad Penny , Marlins , 2002 , 4.33 , 8 , L , 0.0 , 0.91
Josh Beckett , Marlins , 2002 , 5.0 , 6 , L , 0.08 , 0.7
A.J. Burnett , Marlins , 2002 , 4.67 , 7 , L , 0.0 , 0.82
Julian Tavarez , Marlins , 2002 , 5.0 , 3 , L , 0.25 , 0.36
Michael Tejera , Marlins , 2002 , 6.0 , 2 , W , 0.4 , 0.23
Brad Penny , Marlins , 2002 , 6.0 , 0 , W , 0.66 , 0.04
Josh Beckett , Marlins , 2002 , 6.0 , 0 , W , 0.66 , 0.04
A.J. Burnett , Marlins , 2002 , 6.0 , 1 , W , 0.51 , 0.11
Julian Tavarez , Marlins , 2002 , 5.0 , 5 , L , 0.1 , 0.62
Michael Tejera , Marlins , 2002 , 6.0 , 9 , L , 0.0 , 0.93
Brad Penny , Marlins , 2002 , 4.33 , 1 , N , 0.0 , 0.25
Josh Beckett , Marlins , 2002 , 6.0 , 2 , N , 0.4 , 0.23
A.J. Burnett , Marlins , 2002 , 8.0 , 2 , W , 0.49 , 0.3
Julian Tavarez , Marlins , 2002 , 5.0 , 3 , L , 0.25 , 0.36
Michael Tejera , Marlins , 2002 , 7.0 , 3 , L , 0.34 , 0.37
Josh Beckett , Marlins , 2002 , 6.0 , 5 , W , 0.13 , 0.61
