Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Tom Seaver , Mets , 1983 , 6.0 , 0 , N , 0.66 , 0.04
Craig Swan , Mets , 1983 , 6.67 , 2 , W , 0.53 , 0.18
Mike Torrez , Mets , 1983 , 6.0 , 5 , L , 0.13 , 0.61
Tom Seaver , Mets , 1983 , 7.0 , 2 , N , 0.46 , 0.23
Craig Swan , Mets , 1983 , 3.0 , 4 , N , 0.0 , 0.62
Mike Torrez , Mets , 1983 , 0.67 , 6 , L , 0.0 , 0.86
Scott Holman , Mets , 1983 , 5.67 , 4 , L , 0.17 , 0.51
Ed Lynch , Mets , 1983 , 6.33 , 4 , L , 0.19 , 0.5
Tom Seaver , Mets , 1983 , 9.0 , 0 , W , 0.96 , 0.01
Mike Torrez , Mets , 1983 , 4.0 , 2 , N , 0.0 , 0.38
Scott Holman , Mets , 1983 , 5.0 , 1 , N , 0.47 , 0.13
Craig Swan , Mets , 1983 , 5.0 , 5 , L , 0.1 , 0.62
Rick Ownbey , Mets , 1983 , 4.0 , 3 , N , 0.0 , 0.5
Tom Seaver , Mets , 1983 , 5.0 , 5 , L , 0.1 , 0.62
Mike Torrez , Mets , 1983 , 8.0 , 1 , W , 0.64 , 0.15
Craig Swan , Mets , 1983 , 5.0 , 3 , N , 0.25 , 0.36
Rick Ownbey , Mets , 1983 , 8.0 , 2 , L , 0.49 , 0.3
Tom Seaver , Mets , 1983 , 7.0 , 2 , L , 0.46 , 0.23
Mike Torrez , Mets , 1983 , 9.0 , 3 , L , 0.7 , 0.23
Craig Swan , Mets , 1983 , 1.67 , 1 , L , 0.0 , 0.34
Rick Ownbey , Mets , 1983 , 1.33 , 4 , L , 0.0 , 0.73
Tom Seaver , Mets , 1983 , 8.0 , 3 , N , 0.36 , 0.45
Mike Torrez , Mets , 1983 , 4.33 , 5 , L , 0.0 , 0.73
Scott Holman , Mets , 1983 , 0.33 , 5 , N , 0.0 , 0.87
Rick Ownbey , Mets , 1983 , 4.67 , 5 , L , 0.0 , 0.66
Ed Lynch , Mets , 1983 , 7.33 , 3 , N , 0.34 , 0.37
Tom Seaver , Mets , 1983 , 9.0 , 0 , W , 0.96 , 0.01
Mike Torrez , Mets , 1983 , 6.0 , 4 , L , 0.19 , 0.5
Scott Holman , Mets , 1983 , 7.0 , 1 , N , 0.59 , 0.11
Neil Allen , Mets , 1983 , 5.0 , 2 , W , 0.35 , 0.24
Ed Lynch , Mets , 1983 , 5.33 , 4 , W , 0.17 , 0.5
Tom Seaver , Mets , 1983 , 6.0 , 3 , W , 0.29 , 0.36
Mike Torrez , Mets , 1983 , 8.0 , 1 , W , 0.64 , 0.15
Scott Holman , Mets , 1983 , 4.0 , 1 , L , 0.0 , 0.25
Neil Allen , Mets , 1983 , 9.0 , 0 , W , 0.96 , 0.01
Tom Seaver , Mets , 1983 , 8.0 , 5 , L , 0.2 , 0.67
Mike Torrez , Mets , 1983 , 6.33 , 3 , N , 0.29 , 0.36
Ed Lynch , Mets , 1983 , 7.0 , 2 , L , 0.46 , 0.23
Neil Allen , Mets , 1983 , 4.0 , 4 , L , 0.0 , 0.6
Tom Seaver , Mets , 1983 , 6.0 , 1 , L , 0.51 , 0.11
Mike Torrez , Mets , 1983 , 5.33 , 5 , L , 0.1 , 0.62
Ed Lynch , Mets , 1983 , 8.0 , 1 , W , 0.64 , 0.15
Neil Allen , Mets , 1983 , 4.67 , 5 , L , 0.0 , 0.66
Scott Holman , Mets , 1983 , 6.0 , 2 , L , 0.4 , 0.23
Tom Seaver , Mets , 1983 , 7.0 , 3 , L , 0.34 , 0.37
Mike Torrez , Mets , 1983 , 8.0 , 3 , N , 0.36 , 0.45
Ed Lynch , Mets , 1983 , 7.0 , 2 , W , 0.46 , 0.23
Craig Swan , Mets , 1983 , 6.0 , 1 , N , 0.51 , 0.11
Scott Holman , Mets , 1983 , 8.33 , 1 , W , 0.64 , 0.15
Tom Seaver , Mets , 1983 , 5.0 , 1 , N , 0.47 , 0.13
Mike Torrez , Mets , 1983 , 8.67 , 2 , L , 0.68 , 0.18
Ed Lynch , Mets , 1983 , 6.33 , 3 , N , 0.29 , 0.36
Craig Swan , Mets , 1983 , 7.0 , 1 , N , 0.59 , 0.11
Scott Holman , Mets , 1983 , 5.33 , 4 , L , 0.17 , 0.5
Tom Seaver , Mets , 1983 , 9.0 , 1 , W , 0.89 , 0.05
Mike Torrez , Mets , 1983 , 4.67 , 2 , L , 0.0 , 0.4
Ed Lynch , Mets , 1983 , 8.0 , 2 , N , 0.49 , 0.3
Craig Swan , Mets , 1983 , 1.33 , 4 , N , 0.0 , 0.73
Tom Seaver , Mets , 1983 , 5.0 , 3 , L , 0.25 , 0.36
Mike Torrez , Mets , 1983 , 6.0 , 1 , W , 0.51 , 0.11
Ed Lynch , Mets , 1983 , 6.0 , 4 , L , 0.19 , 0.5
Craig Swan , Mets , 1983 , 7.0 , 3 , L , 0.34 , 0.37
Walt Terrell , Mets , 1983 , 5.67 , 4 , W , 0.17 , 0.51
Tom Gorman , Mets , 1983 , 2.33 , 5 , L , 0.0 , 0.75
Tom Seaver , Mets , 1983 , 9.0 , 4 , W , 0.55 , 0.37
Mike Torrez , Mets , 1983 , 7.0 , 0 , W , 0.73 , 0.04
Ed Lynch , Mets , 1983 , 2.67 , 3 , N , 0.0 , 0.52
Craig Swan , Mets , 1983 , 0.67 , 4 , L , 0.0 , 0.72
Walt Terrell , Mets , 1983 , 5.33 , 4 , L , 0.17 , 0.5
Tom Seaver , Mets , 1983 , 5.67 , 7 , L , 0.06 , 0.8
Mike Torrez , Mets , 1983 , 9.0 , 1 , W , 0.89 , 0.05
Ed Lynch , Mets , 1983 , 8.0 , 1 , W , 0.64 , 0.15
Tom Gorman , Mets , 1983 , 4.0 , 3 , L , 0.0 , 0.5
Craig Swan , Mets , 1983 , 5.0 , 3 , N , 0.25 , 0.36
Walt Terrell , Mets , 1983 , 6.0 , 3 , L , 0.29 , 0.36
Tom Seaver , Mets , 1983 , 8.0 , 5 , L , 0.2 , 0.67
Mike Torrez , Mets , 1983 , 6.0 , 5 , N , 0.13 , 0.61
Ed Lynch , Mets , 1983 , 6.0 , 2 , W , 0.4 , 0.23
Craig Swan , Mets , 1983 , 6.33 , 4 , N , 0.19 , 0.5
Walt Terrell , Mets , 1983 , 7.0 , 3 , L , 0.34 , 0.37
Mike Torrez , Mets , 1983 , 0.67 , 5 , L , 0.0 , 0.77
Tom Seaver , Mets , 1983 , 5.0 , 5 , L , 0.1 , 0.62
Ed Lynch , Mets , 1983 , 5.0 , 5 , N , 0.1 , 0.62
Mike Torrez , Mets , 1983 , 6.0 , 4 , L , 0.19 , 0.5
Walt Terrell , Mets , 1983 , 6.0 , 2 , L , 0.4 , 0.23
Tom Seaver , Mets , 1983 , 6.0 , 4 , W , 0.19 , 0.5
Ed Lynch , Mets , 1983 , 4.33 , 4 , L , 0.0 , 0.6
Mike Torrez , Mets , 1983 , 7.0 , 2 , L , 0.46 , 0.23
Walt Terrell , Mets , 1983 , 6.0 , 1 , W , 0.51 , 0.11
Tom Gorman , Mets , 1983 , 4.67 , 5 , L , 0.0 , 0.66
Tom Seaver , Mets , 1983 , 5.0 , 4 , N , 0.17 , 0.5
