Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Joe Sparma , Nationals , 1970 , 5.0 , 5 , L , 0.1 , 0.62
Bill Stoneman , Nationals , 1970 , 8.33 , 4 , L , 0.25 , 0.58
Steve Renko , Nationals , 1970 , 4.0 , 5 , L , 0.0 , 0.73
Joe Sparma , Nationals , 1970 , 9.0 , 2 , L , 0.8 , 0.13
Bill Stoneman , Nationals , 1970 , 9.0 , 0 , W , 0.96 , 0.01
Steve Renko , Nationals , 1970 , 4.33 , 0 , N , 0.0 , 0.12
Joe Sparma , Nationals , 1970 , 3.0 , 4 , L , 0.0 , 0.62
Bill Stoneman , Nationals , 1970 , 2.0 , 6 , N , 0.0 , 0.82
Steve Renko , Nationals , 1970 , 3.33 , 5 , L , 0.0 , 0.69
Bill Stoneman , Nationals , 1970 , 5.0 , 2 , L , 0.35 , 0.24
Gary Waslewski , Nationals , 1970 , 6.0 , 2 , N , 0.4 , 0.23
Joe Sparma , Nationals , 1970 , 6.0 , 2 , N , 0.4 , 0.23
Bill Stoneman , Nationals , 1970 , 5.0 , 6 , L , 0.08 , 0.7
Carl Morton , Nationals , 1970 , 8.0 , 2 , W , 0.49 , 0.3
Gary Waslewski , Nationals , 1970 , 6.0 , 1 , N , 0.51 , 0.11
Steve Renko , Nationals , 1970 , 9.0 , 3 , W , 0.7 , 0.23
Joe Sparma , Nationals , 1970 , 1.0 , 4 , L , 0.0 , 0.73
Bill Stoneman , Nationals , 1970 , 6.0 , 2 , L , 0.4 , 0.23
Carl Morton , Nationals , 1970 , 9.0 , 0 , W , 0.96 , 0.01
Gary Waslewski , Nationals , 1970 , 4.0 , 4 , L , 0.0 , 0.6
Steve Renko , Nationals , 1970 , 2.67 , 4 , L , 0.0 , 0.65
Bill Stoneman , Nationals , 1970 , 7.0 , 3 , L , 0.34 , 0.37
Carl Morton , Nationals , 1970 , 8.67 , 5 , W , 0.42 , 0.46
Gary Waslewski , Nationals , 1970 , 4.67 , 6 , L , 0.0 , 0.73
Steve Renko , Nationals , 1970 , 4.33 , 5 , N , 0.0 , 0.73
Bill Stoneman , Nationals , 1970 , 7.33 , 5 , L , 0.18 , 0.64
Joe Sparma , Nationals , 1970 , 1.33 , 3 , N , 0.0 , 0.57
Dan McGinn , Nationals , 1970 , 9.0 , 0 , W , 0.96 , 0.01
Carl Morton , Nationals , 1970 , 5.0 , 4 , L , 0.17 , 0.5
Bill Stoneman , Nationals , 1970 , 5.33 , 3 , N , 0.25 , 0.36
Dan McGinn , Nationals , 1970 , 9.0 , 1 , W , 0.89 , 0.05
Carl Morton , Nationals , 1970 , 6.33 , 2 , N , 0.4 , 0.23
Steve Renko , Nationals , 1970 , 3.67 , 5 , N , 0.0 , 0.69
Bill Stoneman , Nationals , 1970 , 7.67 , 4 , N , 0.32 , 0.44
Dan McGinn , Nationals , 1970 , 6.0 , 4 , L , 0.19 , 0.5
Carl Morton , Nationals , 1970 , 9.0 , 0 , W , 0.96 , 0.01
Steve Renko , Nationals , 1970 , 6.67 , 2 , N , 0.53 , 0.18
Bill Stoneman , Nationals , 1970 , 9.0 , 3 , W , 0.7 , 0.23
Dan McGinn , Nationals , 1970 , 3.67 , 1 , L , 0.0 , 0.44
Carl Morton , Nationals , 1970 , 7.0 , 1 , L , 0.59 , 0.11
Bill Stoneman , Nationals , 1970 , 9.0 , 2 , L , 0.8 , 0.13
Dan McGinn , Nationals , 1970 , 8.67 , 3 , L , 0.55 , 0.28
Carl Morton , Nationals , 1970 , 6.67 , 3 , N , 0.36 , 0.33
Mike Wegener , Nationals , 1970 , 5.33 , 2 , N , 0.35 , 0.24
Bill Stoneman , Nationals , 1970 , 3.0 , 3 , N , 0.0 , 0.47
Dan McGinn , Nationals , 1970 , 3.0 , 4 , N , 0.0 , 0.62
Carl Morton , Nationals , 1970 , 3.0 , 5 , L , 0.0 , 0.69
Balor Moore , Nationals , 1970 , 6.0 , 5 , L , 0.13 , 0.61
Dan McGinn , Nationals , 1970 , 3.0 , 4 , L , 0.0 , 0.62
Mike Wegener , Nationals , 1970 , 6.0 , 1 , N , 0.51 , 0.11
Bill Stoneman , Nationals , 1970 , 6.0 , 4 , W , 0.19 , 0.5
Carl Morton , Nationals , 1970 , 9.0 , 0 , W , 0.96 , 0.01
Balor Moore , Nationals , 1970 , 2.0 , 3 , L , 0.0 , 0.56
Mike Wegener , Nationals , 1970 , 3.0 , 3 , L , 0.0 , 0.47
Carl Morton , Nationals , 1970 , 6.0 , 4 , W , 0.19 , 0.5
Dan McGinn , Nationals , 1970 , 4.33 , 3 , N , 0.0 , 0.5
Bill Stoneman , Nationals , 1970 , 5.0 , 5 , L , 0.1 , 0.62
Steve Renko , Nationals , 1970 , 8.33 , 1 , W , 0.64 , 0.15
Carl Morton , Nationals , 1970 , 1.0 , 5 , L , 0.0 , 0.72
Mike Wegener , Nationals , 1970 , 6.33 , 4 , N , 0.19 , 0.5
Steve Renko , Nationals , 1970 , 5.0 , 5 , N , 0.1 , 0.62
Dan McGinn , Nationals , 1970 , 4.0 , 4 , N , 0.0 , 0.6
Carl Morton , Nationals , 1970 , 5.67 , 4 , L , 0.17 , 0.51
Rich Nye , Nationals , 1970 , 9.0 , 1 , W , 0.89 , 0.05
Bill Stoneman , Nationals , 1970 , 6.0 , 4 , L , 0.19 , 0.5
Steve Renko , Nationals , 1970 , 6.0 , 1 , L , 0.51 , 0.11
Dan McGinn , Nationals , 1970 , 8.33 , 1 , W , 0.64 , 0.15
Carl Morton , Nationals , 1970 , 9.0 , 0 , W , 0.96 , 0.01
Rich Nye , Nationals , 1970 , 7.67 , 2 , N , 0.56 , 0.17
Steve Renko , Nationals , 1970 , 5.67 , 3 , W , 0.29 , 0.35
Dan McGinn , Nationals , 1970 , 2.0 , 6 , L , 0.0 , 0.82
Carl Morton , Nationals , 1970 , 9.0 , 2 , W , 0.8 , 0.13
Steve Renko , Nationals , 1970 , 9.0 , 1 , W , 0.89 , 0.05
Rich Nye , Nationals , 1970 , 9.0 , 1 , W , 0.89 , 0.05
Dan McGinn , Nationals , 1970 , 8.67 , 1 , W , 0.81 , 0.07
Carl Morton , Nationals , 1970 , 8.0 , 7 , W , 0.11 , 0.72
Bill Stoneman , Nationals , 1970 , 1.33 , 5 , L , 0.0 , 0.72
Steve Renko , Nationals , 1970 , 9.0 , 0 , W , 0.96 , 0.01
Rich Nye , Nationals , 1970 , 7.33 , 4 , L , 0.25 , 0.5
Carl Morton , Nationals , 1970 , 7.0 , 3 , L , 0.34 , 0.37
Mike Wegener , Nationals , 1970 , 2.0 , 5 , L , 0.0 , 0.75
Howie Reed , Nationals , 1970 , 3.0 , 5 , L , 0.0 , 0.69
Steve Renko , Nationals , 1970 , 7.0 , 5 , L , 0.18 , 0.64
Bill Stoneman , Nationals , 1970 , 5.0 , 4 , N , 0.17 , 0.5
Rich Nye , Nationals , 1970 , 4.0 , 6 , L , 0.0 , 0.79
Carl Morton , Nationals , 1970 , 7.33 , 6 , W , 0.15 , 0.69
Mike Wegener , Nationals , 1970 , 8.33 , 2 , W , 0.49 , 0.3
Steve Renko , Nationals , 1970 , 6.67 , 3 , N , 0.36 , 0.33
Carl Morton , Nationals , 1970 , 7.0 , 3 , W , 0.34 , 0.37
Mike Wegener , Nationals , 1970 , 5.0 , 4 , L , 0.17 , 0.5
Steve Renko , Nationals , 1970 , 6.33 , 3 , L , 0.29 , 0.36
Bill Stoneman , Nationals , 1970 , 4.67 , 3 , N , 0.0 , 0.5
Mike Marshall , Nationals , 1970 , 7.0 , 2 , L , 0.46 , 0.23
Carl Morton , Nationals , 1970 , 9.0 , 2 , W , 0.8 , 0.13
Dan McGinn , Nationals , 1970 , 3.67 , 4 , N , 0.0 , 0.62
Steve Renko , Nationals , 1970 , 7.67 , 7 , L , 0.22 , 0.75
Mike Wegener , Nationals , 1970 , 4.0 , 4 , N , 0.0 , 0.6
Carl Morton , Nationals , 1970 , 9.0 , 5 , W , 0.47 , 0.49
Mike Marshall , Nationals , 1970 , 5.33 , 3 , L , 0.25 , 0.36
Steve Renko , Nationals , 1970 , 4.67 , 4 , N , 0.0 , 0.6
Carl Morton , Nationals , 1970 , 9.0 , 3 , W , 0.7 , 0.23
Dan McGinn , Nationals , 1970 , 3.67 , 4 , L , 0.0 , 0.62
Mike Marshall , Nationals , 1970 , 5.0 , 2 , L , 0.35 , 0.24
Rich Nye , Nationals , 1970 , 7.33 , 5 , W , 0.18 , 0.64
Steve Renko , Nationals , 1970 , 9.0 , 5 , W , 0.47 , 0.49
Carl Morton , Nationals , 1970 , 8.0 , 3 , N , 0.36 , 0.45
Dan McGinn , Nationals , 1970 , 9.0 , 0 , W , 0.96 , 0.01
Mike Marshall , Nationals , 1970 , 6.0 , 2 , L , 0.4 , 0.23
Mike Wegener , Nationals , 1970 , 9.0 , 2 , W , 0.8 , 0.13
Steve Renko , Nationals , 1970 , 3.33 , 7 , L , 0.0 , 0.84
Carl Morton , Nationals , 1970 , 8.0 , 3 , L , 0.36 , 0.45
Dan McGinn , Nationals , 1970 , 6.0 , 2 , L , 0.4 , 0.23
Mike Marshall , Nationals , 1970 , 2.33 , 4 , N , 0.0 , 0.59
Mike Wegener , Nationals , 1970 , 7.0 , 5 , W , 0.18 , 0.64
Bill Stoneman , Nationals , 1970 , 6.0 , 3 , L , 0.29 , 0.36
Carl Morton , Nationals , 1970 , 7.0 , 1 , L , 0.59 , 0.11
Dan McGinn , Nationals , 1970 , 0.67 , 3 , N , 0.0 , 0.71
Mike Wegener , Nationals , 1970 , 7.0 , 4 , L , 0.25 , 0.5
Steve Renko , Nationals , 1970 , 9.0 , 2 , W , 0.8 , 0.13
Carl Morton , Nationals , 1970 , 3.0 , 5 , L , 0.0 , 0.69
Dan McGinn , Nationals , 1970 , 6.0 , 3 , N , 0.29 , 0.36
Steve Renko , Nationals , 1970 , 7.33 , 2 , W , 0.46 , 0.23
Mike Wegener , Nationals , 1970 , 4.0 , 2 , N , 0.0 , 0.38
Carl Morton , Nationals , 1970 , 7.67 , 2 , W , 0.56 , 0.17
Steve Renko , Nationals , 1970 , 8.67 , 1 , W , 0.81 , 0.07
Bill Stoneman , Nationals , 1970 , 6.67 , 1 , L , 0.62 , 0.09
Carl Morton , Nationals , 1970 , 7.0 , 3 , N , 0.34 , 0.37
Steve Renko , Nationals , 1970 , 8.33 , 3 , L , 0.36 , 0.45
Mike Wegener , Nationals , 1970 , 5.0 , 5 , L , 0.1 , 0.62
Bill Stoneman , Nationals , 1970 , 8.67 , 3 , N , 0.55 , 0.28
Carl Morton , Nationals , 1970 , 10.67 , 4 , L , 0.28 , 0.33
Steve Renko , Nationals , 1970 , 9.0 , 1 , W , 0.89 , 0.05
Bill Stoneman , Nationals , 1970 , 5.67 , 4 , L , 0.17 , 0.51
Carl Morton , Nationals , 1970 , 7.0 , 6 , N , 0.15 , 0.69
