Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Scott McGregor , Orioles , 1984 , 5.67 , 4 , L , 0.17 , 0.51
Mike Boddicker , Orioles , 1984 , 5.67 , 5 , L , 0.13 , 0.61
Mike Flanagan , Orioles , 1984 , 1.67 , 3 , L , 0.0 , 0.58
Jim Palmer , Orioles , 1984 , 4.0 , 4 , L , 0.0 , 0.6
Scott McGregor , Orioles , 1984 , 5.33 , 3 , W , 0.25 , 0.36
Mike Boddicker , Orioles , 1984 , 3.0 , 2 , L , 0.0 , 0.39
Scott McGregor , Orioles , 1984 , 5.33 , 5 , L , 0.1 , 0.62
Storm Davis , Orioles , 1984 , 6.0 , 2 , N , 0.4 , 0.23
Mike Flanagan , Orioles , 1984 , 6.67 , 3 , L , 0.36 , 0.33
Mike Boddicker , Orioles , 1984 , 5.0 , 2 , N , 0.35 , 0.24
Jim Palmer , Orioles , 1984 , 5.0 , 4 , L , 0.17 , 0.5
Scott McGregor , Orioles , 1984 , 8.33 , 2 , L , 0.49 , 0.3
Storm Davis , Orioles , 1984 , 7.0 , 2 , N , 0.46 , 0.23
Mike Flanagan , Orioles , 1984 , 7.0 , 3 , W , 0.34 , 0.37
Mike Boddicker , Orioles , 1984 , 5.67 , 2 , L , 0.42 , 0.19
Jim Palmer , Orioles , 1984 , 3.67 , 4 , N , 0.0 , 0.62
Scott McGregor , Orioles , 1984 , 9.0 , 3 , W , 0.7 , 0.23
Storm Davis , Orioles , 1984 , 6.0 , 1 , N , 0.51 , 0.11
Mike Flanagan , Orioles , 1984 , 9.0 , 3 , W , 0.7 , 0.23
Mike Boddicker , Orioles , 1984 , 8.33 , 2 , N , 0.49 , 0.3
Scott McGregor , Orioles , 1984 , 7.0 , 1 , W , 0.59 , 0.11
Storm Davis , Orioles , 1984 , 8.0 , 2 , W , 0.49 , 0.3
Mike Flanagan , Orioles , 1984 , 6.0 , 2 , N , 0.4 , 0.23
Mike Boddicker , Orioles , 1984 , 9.0 , 0 , W , 0.96 , 0.01
Scott McGregor , Orioles , 1984 , 7.33 , 2 , N , 0.46 , 0.23
Storm Davis , Orioles , 1984 , 9.0 , 0 , W , 0.96 , 0.01
Mike Flanagan , Orioles , 1984 , 4.67 , 5 , N , 0.0 , 0.66
Mike Boddicker , Orioles , 1984 , 9.0 , 1 , W , 0.89 , 0.05
Scott McGregor , Orioles , 1984 , 9.0 , 4 , W , 0.55 , 0.37
Storm Davis , Orioles , 1984 , 4.0 , 3 , N , 0.0 , 0.5
Mike Flanagan , Orioles , 1984 , 6.33 , 3 , N , 0.29 , 0.36
Mike Boddicker , Orioles , 1984 , 8.67 , 1 , W , 0.81 , 0.07
Tom Underwood , Orioles , 1984 , 3.0 , 1 , N , 0.0 , 0.22
Storm Davis , Orioles , 1984 , 9.0 , 1 , W , 0.89 , 0.05
Scott McGregor , Orioles , 1984 , 9.0 , 1 , W , 0.89 , 0.05
Mike Flanagan , Orioles , 1984 , 4.0 , 4 , L , 0.0 , 0.6
Mike Boddicker , Orioles , 1984 , 9.0 , 0 , W , 0.96 , 0.01
Storm Davis , Orioles , 1984 , 9.0 , 1 , W , 0.89 , 0.05
Scott McGregor , Orioles , 1984 , 5.0 , 5 , N , 0.1 , 0.62
