Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Bruce Hurst , Padres , 1992 , 7.0 , 3 , N , 0.34 , 0.37
Greg Harris , Padres , 1992 , 5.0 , 3 , L , 0.25 , 0.36
Andy Benes , Padres , 1992 , 7.0 , 1 , W , 0.59 , 0.11
Craig Lefferts , Padres , 1992 , 0.33 , 4 , L , 0.0 , 0.67
Dave Eiland , Padres , 1992 , 4.0 , 0 , N , 0.0 , 0.12
Bruce Hurst , Padres , 1992 , 7.0 , 2 , N , 0.46 , 0.23
Greg Harris , Padres , 1992 , 8.0 , 1 , N , 0.64 , 0.15
Andy Benes , Padres , 1992 , 7.33 , 0 , W , 0.73 , 0.04
Craig Lefferts , Padres , 1992 , 7.0 , 3 , W , 0.34 , 0.37
Dave Eiland , Padres , 1992 , 5.33 , 4 , L , 0.17 , 0.5
Bruce Hurst , Padres , 1992 , 6.67 , 3 , L , 0.36 , 0.33
Greg Harris , Padres , 1992 , 5.0 , 1 , N , 0.47 , 0.13
Andy Benes , Padres , 1992 , 9.0 , 0 , N , 0.96 , 0.01
Craig Lefferts , Padres , 1992 , 4.0 , 2 , L , 0.0 , 0.38
Dave Eiland , Padres , 1992 , 1.33 , 0 , N , 0.0 , 0.03
Bruce Hurst , Padres , 1992 , 7.33 , 2 , W , 0.46 , 0.23
Greg Harris , Padres , 1992 , 8.0 , 1 , N , 0.64 , 0.15
Andy Benes , Padres , 1992 , 4.67 , 7 , L , 0.0 , 0.82
Craig Lefferts , Padres , 1992 , 6.33 , 1 , W , 0.51 , 0.11
Bruce Hurst , Padres , 1992 , 3.67 , 7 , L , 0.0 , 0.83
Dave Eiland , Padres , 1992 , 5.67 , 3 , N , 0.29 , 0.35
Greg Harris , Padres , 1992 , 9.0 , 2 , W , 0.8 , 0.13
Andy Benes , Padres , 1992 , 6.0 , 7 , L , 0.07 , 0.81
Craig Lefferts , Padres , 1992 , 5.33 , 5 , N , 0.1 , 0.62
Bruce Hurst , Padres , 1992 , 6.0 , 2 , L , 0.4 , 0.23
Dave Eiland , Padres , 1992 , 1.67 , 7 , L , 0.0 , 0.9
Greg Harris , Padres , 1992 , 6.0 , 5 , L , 0.13 , 0.61
Andy Benes , Padres , 1992 , 6.0 , 4 , L , 0.19 , 0.5
Bruce Hurst , Padres , 1992 , 5.33 , 4 , N , 0.17 , 0.5
Craig Lefferts , Padres , 1992 , 7.0 , 1 , W , 0.59 , 0.11
Greg Harris , Padres , 1992 , 6.0 , 4 , L , 0.19 , 0.5
Andy Benes , Padres , 1992 , 7.0 , 1 , W , 0.59 , 0.11
Jose Melendez , Padres , 1992 , 4.0 , 5 , L , 0.0 , 0.73
Bruce Hurst , Padres , 1992 , 9.0 , 0 , W , 0.96 , 0.01
Craig Lefferts , Padres , 1992 , 6.33 , 2 , W , 0.4 , 0.23
Greg Harris , Padres , 1992 , 3.0 , 6 , N , 0.0 , 0.77
Andy Benes , Padres , 1992 , 7.67 , 3 , W , 0.46 , 0.32
