Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Curt Schilling , Phillies , 1995 , 5.0 , 3 , N , 0.25 , 0.36
David West , Phillies , 1995 , 5.0 , 2 , W , 0.35 , 0.24
Paul Quantrill , Phillies , 1995 , 6.0 , 0 , W , 0.66 , 0.04
Tyler Green , Phillies , 1995 , 5.0 , 2 , L , 0.35 , 0.24
Curt Schilling , Phillies , 1995 , 7.0 , 0 , W , 0.73 , 0.04
David West , Phillies , 1995 , 5.0 , 1 , N , 0.47 , 0.13
Paul Quantrill , Phillies , 1995 , 6.0 , 4 , N , 0.19 , 0.5
Tyler Green , Phillies , 1995 , 6.0 , 3 , W , 0.29 , 0.36
Mike Mimbs , Phillies , 1995 , 6.0 , 0 , W , 0.66 , 0.04
Curt Schilling , Phillies , 1995 , 7.0 , 3 , W , 0.34 , 0.37
David West , Phillies , 1995 , 2.0 , 0 , N , 0.0 , 0.06
Paul Quantrill , Phillies , 1995 , 5.33 , 3 , W , 0.25 , 0.36
Tyler Green , Phillies , 1995 , 6.0 , 0 , W , 0.66 , 0.04
Mike Mimbs , Phillies , 1995 , 0.33 , 5 , L , 0.0 , 0.87
Curt Schilling , Phillies , 1995 , 7.67 , 2 , W , 0.56 , 0.17
David West , Phillies , 1995 , 1.33 , 3 , N , 0.0 , 0.57
Paul Quantrill , Phillies , 1995 , 7.33 , 2 , W , 0.46 , 0.23
Tyler Green , Phillies , 1995 , 2.33 , 4 , L , 0.0 , 0.59
Mike Mimbs , Phillies , 1995 , 3.67 , 2 , N , 0.0 , 0.4
Curt Schilling , Phillies , 1995 , 7.0 , 1 , N , 0.59 , 0.11
Paul Quantrill , Phillies , 1995 , 6.33 , 5 , L , 0.13 , 0.61
Tyler Green , Phillies , 1995 , 5.33 , 6 , W , 0.08 , 0.7
Mike Mimbs , Phillies , 1995 , 6.0 , 3 , W , 0.29 , 0.36
Curt Schilling , Phillies , 1995 , 6.0 , 4 , N , 0.19 , 0.5
Paul Quantrill , Phillies , 1995 , 7.0 , 1 , N , 0.59 , 0.11
Tyler Green , Phillies , 1995 , 6.0 , 3 , L , 0.29 , 0.36
Mike Mimbs , Phillies , 1995 , 9.0 , 0 , W , 0.96 , 0.01
Mike Williams , Phillies , 1995 , 6.0 , 2 , N , 0.4 , 0.23
Curt Schilling , Phillies , 1995 , 7.0 , 3 , N , 0.34 , 0.37
Paul Quantrill , Phillies , 1995 , 5.67 , 6 , W , 0.07 , 0.73
Tyler Green , Phillies , 1995 , 9.0 , 0 , W , 0.96 , 0.01
Mike Mimbs , Phillies , 1995 , 7.0 , 1 , N , 0.59 , 0.11
Mike Williams , Phillies , 1995 , 7.0 , 3 , N , 0.34 , 0.37
Curt Schilling , Phillies , 1995 , 8.0 , 2 , N , 0.49 , 0.3
Paul Quantrill , Phillies , 1995 , 6.0 , 1 , L , 0.51 , 0.11
Tyler Green , Phillies , 1995 , 6.0 , 1 , L , 0.51 , 0.11
Mike Mimbs , Phillies , 1995 , 8.0 , 3 , N , 0.36 , 0.45
Mike Williams , Phillies , 1995 , 6.33 , 1 , L , 0.51 , 0.11
Curt Schilling , Phillies , 1995 , 9.0 , 1 , W , 0.89 , 0.05
Paul Quantrill , Phillies , 1995 , 8.0 , 0 , W , 0.76 , 0.04
Tyler Green , Phillies , 1995 , 9.0 , 0 , W , 0.96 , 0.01
