Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Jerry Reuss , Pirates , 1977 , 5.0 , 2 , L , 0.35 , 0.24
Bruce Kison , Pirates , 1977 , 5.67 , 3 , L , 0.29 , 0.35
Jim Rooker , Pirates , 1977 , 2.0 , 7 , L , 0.0 , 0.88
Jerry Reuss , Pirates , 1977 , 6.67 , 1 , N , 0.62 , 0.09
Bruce Kison , Pirates , 1977 , 9.0 , 0 , W , 0.96 , 0.01
Jim Rooker , Pirates , 1977 , 9.0 , 0 , W , 0.96 , 0.01
John Candelaria , Pirates , 1977 , 6.0 , 0 , W , 0.66 , 0.04
Jerry Reuss , Pirates , 1977 , 4.33 , 4 , L , 0.0 , 0.6
Bruce Kison , Pirates , 1977 , 6.0 , 3 , N , 0.29 , 0.36
Larry Demery , Pirates , 1977 , 5.67 , 3 , L , 0.29 , 0.35
Jim Rooker , Pirates , 1977 , 6.0 , 4 , W , 0.19 , 0.5
Jerry Reuss , Pirates , 1977 , 6.33 , 1 , N , 0.51 , 0.11
Bruce Kison , Pirates , 1977 , 7.67 , 5 , N , 0.25 , 0.56
John Candelaria , Pirates , 1977 , 7.0 , 0 , W , 0.73 , 0.04
Bruce Kison , Pirates , 1977 , 8.0 , 2 , W , 0.49 , 0.3
Jerry Reuss , Pirates , 1977 , 3.0 , 4 , L , 0.0 , 0.62
Jim Rooker , Pirates , 1977 , 7.67 , 0 , W , 0.83 , 0.03
John Candelaria , Pirates , 1977 , 7.0 , 3 , N , 0.34 , 0.37
Bruce Kison , Pirates , 1977 , 9.0 , 1 , W , 0.89 , 0.05
Jerry Reuss , Pirates , 1977 , 6.33 , 4 , N , 0.19 , 0.5
Larry Demery , Pirates , 1977 , 7.33 , 0 , W , 0.73 , 0.04
John Candelaria , Pirates , 1977 , 6.0 , 3 , W , 0.29 , 0.36
Bruce Kison , Pirates , 1977 , 2.33 , 6 , N , 0.0 , 0.82
Jerry Reuss , Pirates , 1977 , 5.0 , 4 , N , 0.17 , 0.5
Jim Rooker , Pirates , 1977 , 6.67 , 0 , W , 0.74 , 0.04
Larry Demery , Pirates , 1977 , 6.33 , 1 , W , 0.51 , 0.11
John Candelaria , Pirates , 1977 , 8.67 , 0 , W , 0.9 , 0.04
Bruce Kison , Pirates , 1977 , 6.0 , 2 , L , 0.4 , 0.23
Jerry Reuss , Pirates , 1977 , 7.0 , 3 , L , 0.34 , 0.37
Larry Demery , Pirates , 1977 , 5.0 , 2 , W , 0.35 , 0.24
Jim Rooker , Pirates , 1977 , 6.0 , 0 , N , 0.66 , 0.04
John Candelaria , Pirates , 1977 , 8.0 , 0 , W , 0.76 , 0.04
Jerry Reuss , Pirates , 1977 , 4.0 , 6 , L , 0.0 , 0.79
Bruce Kison , Pirates , 1977 , 5.0 , 5 , N , 0.1 , 0.62
Larry Demery , Pirates , 1977 , 4.33 , 6 , L , 0.0 , 0.79
Jim Rooker , Pirates , 1977 , 7.0 , 4 , L , 0.25 , 0.5
John Candelaria , Pirates , 1977 , 7.0 , 3 , W , 0.34 , 0.37
Jerry Reuss , Pirates , 1977 , 6.33 , 2 , W , 0.4 , 0.23
John Candelaria , Pirates , 1977 , 6.0 , 3 , L , 0.29 , 0.36
Jim Rooker , Pirates , 1977 , 5.0 , 4 , L , 0.17 , 0.5
Jerry Reuss , Pirates , 1977 , 6.33 , 1 , N , 0.51 , 0.11
Bruce Kison , Pirates , 1977 , 5.0 , 5 , L , 0.1 , 0.62
Larry Demery , Pirates , 1977 , 3.33 , 4 , N , 0.0 , 0.62
John Candelaria , Pirates , 1977 , 7.0 , 0 , W , 0.73 , 0.04
Jim Rooker , Pirates , 1977 , 9.0 , 0 , W , 0.96 , 0.01
Jerry Reuss , Pirates , 1977 , 7.0 , 2 , L , 0.46 , 0.23
Odell Jones , Pirates , 1977 , 5.67 , 2 , W , 0.42 , 0.19
John Candelaria , Pirates , 1977 , 8.0 , 1 , N , 0.64 , 0.15
