Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Kevin Millwood , Rangers , 2008 , 6.0 , 0 , L , 0.66 , 0.04
Vicente Padilla , Rangers , 2008 , 6.0 , 1 , N , 0.51 , 0.11
Jason Jennings , Rangers , 2008 , 5.0 , 4 , L , 0.17 , 0.5
Kason Gabbard , Rangers , 2008 , 7.0 , 0 , W , 0.73 , 0.04
Kevin Millwood , Rangers , 2008 , 8.0 , 2 , L , 0.49 , 0.3
Vicente Padilla , Rangers , 2008 , 7.0 , 3 , W , 0.34 , 0.37
Jason Jennings , Rangers , 2008 , 4.67 , 4 , L , 0.0 , 0.6
Kevin Millwood , Rangers , 2008 , 7.0 , 1 , W , 0.59 , 0.11
Kason Gabbard , Rangers , 2008 , 5.67 , 3 , N , 0.29 , 0.35
Vicente Padilla , Rangers , 2008 , 6.0 , 4 , L , 0.19 , 0.5
Luis Mendoza , Rangers , 2008 , 5.0 , 1 , L , 0.47 , 0.13
Scott Feldman , Rangers , 2008 , 6.0 , 3 , N , 0.29 , 0.36
Jason Jennings , Rangers , 2008 , 4.67 , 6 , L , 0.0 , 0.73
Kevin Millwood , Rangers , 2008 , 5.0 , 4 , N , 0.17 , 0.5
Kason Gabbard , Rangers , 2008 , 6.0 , 2 , N , 0.4 , 0.23
Vicente Padilla , Rangers , 2008 , 7.0 , 1 , W , 0.59 , 0.11
Luis Mendoza , Rangers , 2008 , 3.0 , 7 , L , 0.0 , 0.84
Jason Jennings , Rangers , 2008 , 6.0 , 2 , N , 0.4 , 0.23
Kevin Millwood , Rangers , 2008 , 6.0 , 2 , N , 0.4 , 0.23
Kason Gabbard , Rangers , 2008 , 2.0 , 0 , N , 0.0 , 0.06
Vicente Padilla , Rangers , 2008 , 3.0 , 7 , L , 0.0 , 0.84
Luis Mendoza , Rangers , 2008 , 1.67 , 2 , N , 0.0 , 0.5
Jason Jennings , Rangers , 2008 , 5.0 , 5 , L , 0.1 , 0.62
