Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Scott Kazmir , Rays , 2007 , 5.0 , 5 , N , 0.1 , 0.62
Jae Seo , Rays , 2007 , 6.33 , 5 , N , 0.13 , 0.61
James Shields , Rays , 2007 , 6.67 , 3 , N , 0.36 , 0.33
Casey Fossum , Rays , 2007 , 3.67 , 7 , L , 0.0 , 0.83
Scott Kazmir , Rays , 2007 , 7.0 , 4 , L , 0.25 , 0.5
Edwin Jackson , Rays , 2007 , 5.67 , 4 , L , 0.17 , 0.51
Jae Seo , Rays , 2007 , 3.0 , 5 , L , 0.0 , 0.69
James Shields , Rays , 2007 , 7.0 , 4 , W , 0.25 , 0.5
Casey Fossum , Rays , 2007 , 7.0 , 2 , N , 0.46 , 0.23
Scott Kazmir , Rays , 2007 , 8.0 , 2 , W , 0.49 , 0.3
Edwin Jackson , Rays , 2007 , 3.0 , 4 , L , 0.0 , 0.62
Jae Seo , Rays , 2007 , 7.0 , 4 , N , 0.25 , 0.5
James Shields , Rays , 2007 , 6.33 , 5 , N , 0.13 , 0.61
Casey Fossum , Rays , 2007 , 7.0 , 3 , W , 0.34 , 0.37
Scott Kazmir , Rays , 2007 , 4.0 , 3 , N , 0.0 , 0.5
Edwin Jackson , Rays , 2007 , 6.0 , 3 , N , 0.29 , 0.36
Jae Seo , Rays , 2007 , 6.0 , 5 , W , 0.13 , 0.61
James Shields , Rays , 2007 , 8.0 , 2 , N , 0.49 , 0.3
Casey Fossum , Rays , 2007 , 5.67 , 6 , W , 0.07 , 0.73
Scott Kazmir , Rays , 2007 , 6.67 , 1 , N , 0.62 , 0.09
Edwin Jackson , Rays , 2007 , 6.0 , 3 , L , 0.29 , 0.36
Jae Seo , Rays , 2007 , 1.33 , 6 , L , 0.0 , 0.85
James Shields , Rays , 2007 , 8.0 , 1 , W , 0.64 , 0.15
Casey Fossum , Rays , 2007 , 5.0 , 9 , L , 0.0 , 0.95
Scott Kazmir , Rays , 2007 , 7.0 , 2 , W , 0.46 , 0.23
Edwin Jackson , Rays , 2007 , 1.33 , 4 , L , 0.0 , 0.73
Jae Seo , Rays , 2007 , 6.0 , 2 , N , 0.4 , 0.23
James Shields , Rays , 2007 , 7.33 , 3 , W , 0.34 , 0.37
Casey Fossum , Rays , 2007 , 6.0 , 1 , N , 0.51 , 0.11
Scott Kazmir , Rays , 2007 , 6.0 , 1 , N , 0.51 , 0.11
Edwin Jackson , Rays , 2007 , 6.33 , 4 , L , 0.19 , 0.5
Jae Seo , Rays , 2007 , 3.0 , 5 , L , 0.0 , 0.69
James Shields , Rays , 2007 , 9.0 , 0 , N , 0.96 , 0.01
Casey Fossum , Rays , 2007 , 5.67 , 5 , L , 0.13 , 0.61
Scott Kazmir , Rays , 2007 , 6.33 , 4 , L , 0.19 , 0.5
Edwin Jackson , Rays , 2007 , 6.0 , 4 , N , 0.19 , 0.5
Jae Seo , Rays , 2007 , 7.0 , 0 , W , 0.73 , 0.04
James Shields , Rays , 2007 , 8.0 , 3 , N , 0.36 , 0.45
Casey Fossum , Rays , 2007 , 5.0 , 6 , W , 0.08 , 0.7
Scott Kazmir , Rays , 2007 , 4.0 , 1 , N , 0.0 , 0.25
Edwin Jackson , Rays , 2007 , 2.67 , 6 , L , 0.0 , 0.8
Jae Seo , Rays , 2007 , 5.33 , 7 , L , 0.05 , 0.78
James Shields , Rays , 2007 , 7.0 , 1 , N , 0.59 , 0.11
Scott Kazmir , Rays , 2007 , 5.0 , 2 , N , 0.35 , 0.24
Casey Fossum , Rays , 2007 , 5.33 , 1 , L , 0.47 , 0.13
Jae Seo , Rays , 2007 , 5.0 , 6 , W , 0.08 , 0.7
James Shields , Rays , 2007 , 7.0 , 4 , N , 0.25 , 0.5
Scott Kazmir , Rays , 2007 , 7.0 , 4 , W , 0.25 , 0.5
Edwin Jackson , Rays , 2007 , 6.0 , 2 , N , 0.4 , 0.23
Casey Fossum , Rays , 2007 , 1.0 , 5 , L , 0.0 , 0.72
James Shields , Rays , 2007 , 9.0 , 3 , W , 0.7 , 0.23
Scott Kazmir , Rays , 2007 , 7.0 , 3 , L , 0.34 , 0.37
Edwin Jackson , Rays , 2007 , 3.33 , 6 , L , 0.0 , 0.77
J.P. Howell , Rays , 2007 , 8.0 , 1 , W , 0.64 , 0.15
James Shields , Rays , 2007 , 7.33 , 2 , W , 0.46 , 0.23
Andy Sonnanstine , Rays , 2007 , 7.0 , 6 , N , 0.15 , 0.69
Scott Kazmir , Rays , 2007 , 5.0 , 2 , W , 0.35 , 0.24
Edwin Jackson , Rays , 2007 , 6.0 , 3 , N , 0.29 , 0.36
J.P. Howell , Rays , 2007 , 5.0 , 6 , N , 0.08 , 0.7
James Shields , Rays , 2007 , 7.0 , 2 , W , 0.46 , 0.23
Andy Sonnanstine , Rays , 2007 , 7.0 , 2 , W , 0.46 , 0.23
Scott Kazmir , Rays , 2007 , 6.0 , 4 , N , 0.19 , 0.5
Edwin Jackson , Rays , 2007 , 0.33 , 5 , L , 0.0 , 0.87
J.P. Howell , Rays , 2007 , 7.0 , 1 , L , 0.59 , 0.11
James Shields , Rays , 2007 , 6.0 , 5 , L , 0.13 , 0.61
Andy Sonnanstine , Rays , 2007 , 5.0 , 7 , L , 0.05 , 0.78
Scott Kazmir , Rays , 2007 , 6.0 , 3 , W , 0.29 , 0.36
