Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Bill Monbouquette , Red_Sox , 1961 , 6.33 , 1 , L , 0.51 , 0.11
Ike Delock , Red_Sox , 1961 , 9.0 , 0 , W , 0.96 , 0.01
Tom Brewer , Red_Sox , 1961 , 6.67 , 1 , W , 0.62 , 0.09
Billy Muffett , Red_Sox , 1961 , 6.0 , 3 , L , 0.29 , 0.36
Bill Monbouquette , Red_Sox , 1961 , 8.0 , 3 , L , 0.36 , 0.45
Ike Delock , Red_Sox , 1961 , 6.0 , 4 , N , 0.19 , 0.5
Tom Brewer , Red_Sox , 1961 , 8.0 , 1 , W , 0.64 , 0.15
Billy Muffett , Red_Sox , 1961 , 0.33 , 5 , L , 0.0 , 0.87
Gene Conley , Red_Sox , 1961 , 8.0 , 1 , W , 0.64 , 0.15
Bill Monbouquette , Red_Sox , 1961 , 7.0 , 2 , L , 0.46 , 0.23
Ike Delock , Red_Sox , 1961 , 2.33 , 2 , N , 0.0 , 0.43
Tom Brewer , Red_Sox , 1961 , 4.33 , 5 , L , 0.0 , 0.73
Bill Monbouquette , Red_Sox , 1961 , 9.0 , 2 , W , 0.8 , 0.13
Gene Conley , Red_Sox , 1961 , 4.0 , 3 , L , 0.0 , 0.5
Ike Delock , Red_Sox , 1961 , 5.33 , 1 , L , 0.47 , 0.13
Billy Muffett , Red_Sox , 1961 , 3.67 , 3 , N , 0.0 , 0.51
Tom Brewer , Red_Sox , 1961 , 5.33 , 4 , L , 0.17 , 0.5
Bill Monbouquette , Red_Sox , 1961 , 3.33 , 3 , N , 0.0 , 0.47
Gene Conley , Red_Sox , 1961 , 3.33 , 2 , L , 0.0 , 0.39
Ike Delock , Red_Sox , 1961 , 5.0 , 5 , N , 0.1 , 0.62
Tom Brewer , Red_Sox , 1961 , 8.67 , 2 , W , 0.68 , 0.18
Bill Monbouquette , Red_Sox , 1961 , 9.0 , 0 , W , 0.96 , 0.01
Gene Conley , Red_Sox , 1961 , 6.33 , 4 , L , 0.19 , 0.5
Billy Muffett , Red_Sox , 1961 , 8.0 , 3 , L , 0.36 , 0.45
Chet Nichols , Red_Sox , 1961 , 4.67 , 1 , N , 0.0 , 0.3
Tom Brewer , Red_Sox , 1961 , 0.0 , 0 , N , 0.0 , 0.03
Ted Wills , Red_Sox , 1961 , 1.33 , 6 , L , 0.0 , 0.85
Ike Delock , Red_Sox , 1961 , 7.33 , 5 , W , 0.18 , 0.64
