Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Danny Jackson , Reds , 1989 , 5.0 , 2 , W , 0.35 , 0.24
Tom Browning , Reds , 1989 , 6.0 , 2 , W , 0.4 , 0.23
Rick Mahler , Reds , 1989 , 7.0 , 1 , L , 0.59 , 0.11
Jose Rijo , Reds , 1989 , 7.0 , 1 , N , 0.59 , 0.11
Danny Jackson , Reds , 1989 , 5.0 , 5 , L , 0.1 , 0.62
Tom Browning , Reds , 1989 , 7.0 , 3 , W , 0.34 , 0.37
Rick Mahler , Reds , 1989 , 6.0 , 0 , L , 0.66 , 0.04
Jose Rijo , Reds , 1989 , 7.0 , 1 , N , 0.59 , 0.11
Danny Jackson , Reds , 1989 , 6.0 , 6 , L , 0.08 , 0.74
Tom Browning , Reds , 1989 , 7.33 , 1 , N , 0.59 , 0.11
Rick Mahler , Reds , 1989 , 9.0 , 0 , W , 0.96 , 0.01
Jose Rijo , Reds , 1989 , 6.0 , 0 , N , 0.66 , 0.04
Danny Jackson , Reds , 1989 , 7.0 , 1 , L , 0.59 , 0.11
Tom Browning , Reds , 1989 , 7.0 , 3 , L , 0.34 , 0.37
Rick Mahler , Reds , 1989 , 5.67 , 4 , L , 0.17 , 0.51
Jose Rijo , Reds , 1989 , 5.0 , 1 , N , 0.47 , 0.13
Danny Jackson , Reds , 1989 , 7.0 , 4 , L , 0.25 , 0.5
Tom Browning , Reds , 1989 , 9.0 , 1 , W , 0.89 , 0.05
Rick Mahler , Reds , 1989 , 6.67 , 2 , W , 0.53 , 0.18
Jose Rijo , Reds , 1989 , 6.0 , 0 , W , 0.66 , 0.04
Danny Jackson , Reds , 1989 , 4.0 , 8 , L , 0.0 , 0.91
Tom Browning , Reds , 1989 , 5.0 , 3 , N , 0.25 , 0.36
Rick Mahler , Reds , 1989 , 6.0 , 5 , W , 0.13 , 0.61
Jack Armstrong , Reds , 1989 , 6.0 , 3 , N , 0.29 , 0.36
Jose Rijo , Reds , 1989 , 6.0 , 4 , W , 0.19 , 0.5
Danny Jackson , Reds , 1989 , 7.0 , 2 , N , 0.46 , 0.23
Tom Browning , Reds , 1989 , 4.33 , 6 , L , 0.0 , 0.79
Rick Mahler , Reds , 1989 , 8.0 , 3 , W , 0.36 , 0.45
Jack Armstrong , Reds , 1989 , 5.0 , 3 , L , 0.25 , 0.36
Jose Rijo , Reds , 1989 , 7.0 , 0 , W , 0.73 , 0.04
Danny Jackson , Reds , 1989 , 6.0 , 3 , L , 0.29 , 0.36
Tom Browning , Reds , 1989 , 5.33 , 3 , L , 0.25 , 0.36
Rick Mahler , Reds , 1989 , 9.0 , 0 , W , 0.96 , 0.01
Jose Rijo , Reds , 1989 , 6.33 , 1 , W , 0.51 , 0.11
Danny Jackson , Reds , 1989 , 7.0 , 1 , W , 0.59 , 0.11
Tom Browning , Reds , 1989 , 6.0 , 5 , N , 0.13 , 0.61
Rick Mahler , Reds , 1989 , 5.33 , 5 , L , 0.1 , 0.62
Jose Rijo , Reds , 1989 , 7.0 , 2 , N , 0.46 , 0.23
Danny Jackson , Reds , 1989 , 4.33 , 7 , L , 0.0 , 0.83
Tom Browning , Reds , 1989 , 3.33 , 3 , L , 0.0 , 0.47
Rick Mahler , Reds , 1989 , 9.0 , 2 , W , 0.8 , 0.13
Danny Jackson , Reds , 1989 , 5.33 , 3 , W , 0.25 , 0.36
Tom Browning , Reds , 1989 , 9.0 , 1 , W , 0.89 , 0.05
Rick Mahler , Reds , 1989 , 3.67 , 3 , N , 0.0 , 0.51
Jose Rijo , Reds , 1989 , 4.0 , 4 , L , 0.0 , 0.6
Danny Jackson , Reds , 1989 , 5.0 , 5 , L , 0.1 , 0.62
Tom Browning , Reds , 1989 , 4.0 , 2 , L , 0.0 , 0.38
Rick Mahler , Reds , 1989 , 6.33 , 2 , L , 0.4 , 0.23
Jose Rijo , Reds , 1989 , 7.33 , 3 , W , 0.34 , 0.37
Tom Browning , Reds , 1989 , 6.0 , 4 , W , 0.19 , 0.5
Rick Mahler , Reds , 1989 , 9.0 , 2 , W , 0.8 , 0.13
Danny Jackson , Reds , 1989 , 6.33 , 2 , W , 0.4 , 0.23
Jose Rijo , Reds , 1989 , 3.67 , 6 , L , 0.0 , 0.81
Scott Scudder , Reds , 1989 , 6.0 , 3 , N , 0.29 , 0.36
Tom Browning , Reds , 1989 , 8.0 , 1 , N , 0.64 , 0.15
Rick Mahler , Reds , 1989 , 9.0 , 5 , W , 0.47 , 0.49
Danny Jackson , Reds , 1989 , 6.33 , 2 , N , 0.4 , 0.23
Jose Rijo , Reds , 1989 , 9.0 , 0 , W , 0.96 , 0.01
Tom Browning , Reds , 1989 , 9.0 , 0 , W , 0.96 , 0.01
Scott Scudder , Reds , 1989 , 4.0 , 3 , L , 0.0 , 0.5
Rick Mahler , Reds , 1989 , 6.0 , 4 , L , 0.19 , 0.5
Danny Jackson , Reds , 1989 , 5.67 , 5 , W , 0.13 , 0.61
Jose Rijo , Reds , 1989 , 5.0 , 4 , L , 0.17 , 0.5
Tom Browning , Reds , 1989 , 7.0 , 0 , N , 0.73 , 0.04
Rick Mahler , Reds , 1989 , 7.0 , 4 , N , 0.25 , 0.5
Danny Jackson , Reds , 1989 , 4.0 , 5 , L , 0.0 , 0.73
Jose Rijo , Reds , 1989 , 6.67 , 2 , L , 0.53 , 0.18
Tom Browning , Reds , 1989 , 6.0 , 0 , N , 0.66 , 0.04
Rick Mahler , Reds , 1989 , 6.0 , 0 , L , 0.66 , 0.04
Scott Scudder , Reds , 1989 , 7.0 , 1 , W , 0.59 , 0.11
Jose Rijo , Reds , 1989 , 5.0 , 1 , W , 0.47 , 0.13
Tim Birtsas , Reds , 1989 , 2.33 , 3 , L , 0.0 , 0.56
Tom Browning , Reds , 1989 , 4.33 , 5 , L , 0.0 , 0.73
Rick Mahler , Reds , 1989 , 6.33 , 3 , N , 0.29 , 0.36
Scott Scudder , Reds , 1989 , 6.33 , 0 , W , 0.66 , 0.04
Jose Rijo , Reds , 1989 , 6.0 , 4 , L , 0.19 , 0.5
Tom Browning , Reds , 1989 , 8.0 , 1 , N , 0.64 , 0.15
Rick Mahler , Reds , 1989 , 5.0 , 4 , L , 0.17 , 0.5
Jack Armstrong , Reds , 1989 , 5.0 , 2 , W , 0.35 , 0.24
Scott Scudder , Reds , 1989 , 2.33 , 4 , L , 0.0 , 0.59
Jose Rijo , Reds , 1989 , 5.0 , 1 , L , 0.47 , 0.13
Tom Browning , Reds , 1989 , 8.33 , 1 , W , 0.64 , 0.15
Rick Mahler , Reds , 1989 , 7.0 , 2 , N , 0.46 , 0.23
Danny Jackson , Reds , 1989 , 6.0 , 0 , W , 0.66 , 0.04
Scott Scudder , Reds , 1989 , 4.0 , 4 , L , 0.0 , 0.6
Tom Browning , Reds , 1989 , 4.33 , 5 , L , 0.0 , 0.73
Rick Mahler , Reds , 1989 , 6.0 , 1 , N , 0.51 , 0.11
Danny Jackson , Reds , 1989 , 5.67 , 1 , N , 0.51 , 0.12
Tom Browning , Reds , 1989 , 8.0 , 1 , L , 0.64 , 0.15
Rick Mahler , Reds , 1989 , 8.0 , 1 , W , 0.64 , 0.15
Jose Rijo , Reds , 1989 , 2.0 , 0 , N , 0.0 , 0.06
Ron Robinson , Reds , 1989 , 5.0 , 2 , L , 0.35 , 0.24
Danny Jackson , Reds , 1989 , 9.0 , 5 , L , 0.47 , 0.49
Tom Browning , Reds , 1989 , 6.67 , 6 , L , 0.09 , 0.74
Rick Mahler , Reds , 1989 , 6.0 , 4 , L , 0.19 , 0.5
Tim Leary , Reds , 1989 , 6.0 , 2 , L , 0.4 , 0.23
Ron Robinson , Reds , 1989 , 6.0 , 1 , N , 0.51 , 0.11
Danny Jackson , Reds , 1989 , 4.0 , 5 , L , 0.0 , 0.73
Tom Browning , Reds , 1989 , 6.0 , 5 , L , 0.13 , 0.61
Rick Mahler , Reds , 1989 , 7.0 , 3 , N , 0.34 , 0.37
Tim Leary , Reds , 1989 , 8.0 , 1 , W , 0.64 , 0.15
Ron Robinson , Reds , 1989 , 6.0 , 1 , N , 0.51 , 0.11
Tom Browning , Reds , 1989 , 7.33 , 1 , W , 0.59 , 0.11
Rick Mahler , Reds , 1989 , 6.33 , 5 , L , 0.13 , 0.61
Tim Leary , Reds , 1989 , 5.33 , 4 , L , 0.17 , 0.5
Ron Robinson , Reds , 1989 , 5.67 , 0 , W , 0.65 , 0.05
Tom Browning , Reds , 1989 , 9.0 , 2 , W , 0.8 , 0.13
Rick Mahler , Reds , 1989 , 6.0 , 3 , N , 0.29 , 0.36
Scott Scudder , Reds , 1989 , 6.0 , 3 , L , 0.29 , 0.36
Tim Leary , Reds , 1989 , 6.67 , 2 , N , 0.53 , 0.18
