Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Bill Swift , Rockies , 1995 , 6.0 , 5 , N , 0.13 , 0.61
Marvin Freeman , Rockies , 1995 , 2.0 , 5 , N , 0.0 , 0.75
Kevin Ritz , Rockies , 1995 , 4.0 , 0 , N , 0.0 , 0.12
Omar Olivares , Rockies , 1995 , 5.0 , 0 , W , 0.59 , 0.05
Juan Acevedo , Rockies , 1995 , 5.0 , 0 , N , 0.59 , 0.05
Bill Swift , Rockies , 1995 , 6.0 , 2 , N , 0.4 , 0.23
Marvin Freeman , Rockies , 1995 , 2.33 , 5 , N , 0.0 , 0.75
Kevin Ritz , Rockies , 1995 , 3.0 , 3 , N , 0.0 , 0.47
Omar Olivares , Rockies , 1995 , 2.0 , 2 , L , 0.0 , 0.43
Juan Acevedo , Rockies , 1995 , 2.0 , 4 , L , 0.0 , 0.59
Bill Swift , Rockies , 1995 , 5.0 , 8 , N , 0.03 , 0.84
Kevin Ritz , Rockies , 1995 , 6.67 , 3 , W , 0.36 , 0.33
Omar Olivares , Rockies , 1995 , 6.0 , 4 , N , 0.19 , 0.5
Juan Acevedo , Rockies , 1995 , 6.0 , 3 , W , 0.29 , 0.36
Bill Swift , Rockies , 1995 , 5.0 , 2 , W , 0.35 , 0.24
Marvin Freeman , Rockies , 1995 , 4.0 , 5 , L , 0.0 , 0.73
Kevin Ritz , Rockies , 1995 , 5.0 , 3 , W , 0.25 , 0.36
Omar Olivares , Rockies , 1995 , 4.0 , 3 , L , 0.0 , 0.5
Juan Acevedo , Rockies , 1995 , 3.0 , 7 , L , 0.0 , 0.84
Bill Swift , Rockies , 1995 , 6.0 , 5 , N , 0.13 , 0.61
Marvin Freeman , Rockies , 1995 , 6.0 , 1 , N , 0.51 , 0.11
Kevin Ritz , Rockies , 1995 , 7.0 , 2 , L , 0.46 , 0.23
Omar Olivares , Rockies , 1995 , 4.67 , 5 , N , 0.0 , 0.66
Juan Acevedo , Rockies , 1995 , 6.0 , 1 , W , 0.51 , 0.11
Bill Swift , Rockies , 1995 , 6.0 , 6 , N , 0.08 , 0.74
Marvin Freeman , Rockies , 1995 , 5.0 , 6 , L , 0.08 , 0.7
Kevin Ritz , Rockies , 1995 , 6.0 , 3 , N , 0.29 , 0.36
Juan Acevedo , Rockies , 1995 , 6.0 , 4 , L , 0.19 , 0.5
Bill Swift , Rockies , 1995 , 2.0 , 7 , L , 0.0 , 0.88
Marvin Freeman , Rockies , 1995 , 6.0 , 2 , W , 0.4 , 0.23
Kevin Ritz , Rockies , 1995 , 6.0 , 2 , N , 0.4 , 0.23
Omar Olivares , Rockies , 1995 , 5.0 , 5 , N , 0.1 , 0.62
Juan Acevedo , Rockies , 1995 , 6.0 , 3 , W , 0.29 , 0.36
Marvin Freeman , Rockies , 1995 , 6.67 , 2 , N , 0.53 , 0.18
Kevin Ritz , Rockies , 1995 , 6.0 , 4 , W , 0.19 , 0.5
Joe Grahe , Rockies , 1995 , 6.0 , 0 , W , 0.66 , 0.04
Juan Acevedo , Rockies , 1995 , 4.33 , 3 , L , 0.0 , 0.5
Mark Thompson , Rockies , 1995 , 5.0 , 4 , N , 0.17 , 0.5
Marvin Freeman , Rockies , 1995 , 5.67 , 2 , W , 0.42 , 0.19
Kevin Ritz , Rockies , 1995 , 7.0 , 2 , W , 0.46 , 0.23
Joe Grahe , Rockies , 1995 , 6.0 , 0 , N , 0.66 , 0.04
Juan Acevedo , Rockies , 1995 , 7.0 , 3 , L , 0.34 , 0.37
Mark Thompson , Rockies , 1995 , 6.67 , 1 , W , 0.62 , 0.09
Marvin Freeman , Rockies , 1995 , 4.0 , 4 , L , 0.0 , 0.6
Kevin Ritz , Rockies , 1995 , 7.0 , 3 , W , 0.34 , 0.37
Joe Grahe , Rockies , 1995 , 6.0 , 3 , W , 0.29 , 0.36
Bill Swift , Rockies , 1995 , 5.0 , 1 , L , 0.47 , 0.13
Juan Acevedo , Rockies , 1995 , 2.0 , 6 , L , 0.0 , 0.82
Marvin Freeman , Rockies , 1995 , 6.0 , 6 , L , 0.08 , 0.74
Kevin Ritz , Rockies , 1995 , 5.33 , 4 , L , 0.17 , 0.5
Joe Grahe , Rockies , 1995 , 4.67 , 6 , L , 0.0 , 0.73
Bill Swift , Rockies , 1995 , 5.0 , 3 , W , 0.25 , 0.36
Armando Reynoso , Rockies , 1995 , 5.0 , 2 , W , 0.35 , 0.24
Marvin Freeman , Rockies , 1995 , 7.0 , 3 , L , 0.34 , 0.37
Kevin Ritz , Rockies , 1995 , 6.33 , 1 , L , 0.51 , 0.11
Joe Grahe , Rockies , 1995 , 5.0 , 1 , W , 0.47 , 0.13
Bill Swift , Rockies , 1995 , 7.0 , 0 , W , 0.73 , 0.04
Armando Reynoso , Rockies , 1995 , 4.33 , 1 , N , 0.0 , 0.25
Marvin Freeman , Rockies , 1995 , 6.0 , 2 , L , 0.4 , 0.23
Kevin Ritz , Rockies , 1995 , 6.0 , 0 , W , 0.66 , 0.04
Joe Grahe , Rockies , 1995 , 4.0 , 1 , N , 0.0 , 0.25
Bill Swift , Rockies , 1995 , 8.0 , 1 , W , 0.64 , 0.15
Armando Reynoso , Rockies , 1995 , 3.0 , 4 , N , 0.0 , 0.62
Marvin Freeman , Rockies , 1995 , 5.0 , 4 , N , 0.17 , 0.5
Kevin Ritz , Rockies , 1995 , 7.0 , 2 , W , 0.46 , 0.23
Joe Grahe , Rockies , 1995 , 6.0 , 6 , W , 0.08 , 0.74
Juan Acevedo , Rockies , 1995 , 7.0 , 2 , W , 0.46 , 0.23
Armando Reynoso , Rockies , 1995 , 7.67 , 2 , W , 0.56 , 0.17
Marvin Freeman , Rockies , 1995 , 7.0 , 0 , W , 0.73 , 0.04
Kevin Ritz , Rockies , 1995 , 5.0 , 2 , L , 0.35 , 0.24
Armando Reynoso , Rockies , 1995 , 1.0 , 5 , L , 0.0 , 0.72
Bill Swift , Rockies , 1995 , 6.67 , 3 , W , 0.36 , 0.33
Marvin Freeman , Rockies , 1995 , 6.0 , 1 , N , 0.51 , 0.11
Joe Grahe , Rockies , 1995 , 5.0 , 3 , N , 0.25 , 0.36
Kevin Ritz , Rockies , 1995 , 5.0 , 6 , L , 0.08 , 0.7
Bryan Rekar , Rockies , 1995 , 6.33 , 3 , W , 0.29 , 0.36
Bill Swift , Rockies , 1995 , 7.0 , 2 , W , 0.46 , 0.23
Armando Reynoso , Rockies , 1995 , 5.33 , 3 , L , 0.25 , 0.36
Marvin Freeman , Rockies , 1995 , 4.0 , 3 , N , 0.0 , 0.5
Kevin Ritz , Rockies , 1995 , 7.0 , 5 , W , 0.18 , 0.64
Bryan Rekar , Rockies , 1995 , 9.0 , 3 , W , 0.7 , 0.23
Bill Swift , Rockies , 1995 , 4.0 , 6 , N , 0.0 , 0.79
Armando Reynoso , Rockies , 1995 , 5.0 , 4 , L , 0.17 , 0.5
Mark Thompson , Rockies , 1995 , 6.0 , 2 , N , 0.4 , 0.23
Kevin Ritz , Rockies , 1995 , 8.0 , 3 , W , 0.36 , 0.45
Bryan Rekar , Rockies , 1995 , 8.0 , 2 , W , 0.49 , 0.3
Marvin Freeman , Rockies , 1995 , 4.33 , 6 , L , 0.0 , 0.79
Armando Reynoso , Rockies , 1995 , 6.0 , 1 , W , 0.51 , 0.11
Mark Thompson , Rockies , 1995 , 5.33 , 6 , L , 0.08 , 0.7
Kevin Ritz , Rockies , 1995 , 6.0 , 4 , L , 0.19 , 0.5
Bret Saberhagen , Rockies , 1995 , 6.33 , 4 , W , 0.19 , 0.5
Bryan Rekar , Rockies , 1995 , 2.67 , 7 , N , 0.0 , 0.85
Armando Reynoso , Rockies , 1995 , 7.33 , 3 , W , 0.34 , 0.37
Mark Thompson , Rockies , 1995 , 3.0 , 5 , L , 0.0 , 0.69
Bret Saberhagen , Rockies , 1995 , 8.0 , 4 , N , 0.25 , 0.58
Kevin Ritz , Rockies , 1995 , 6.0 , 2 , L , 0.4 , 0.23
Bryan Rekar , Rockies , 1995 , 6.67 , 0 , N , 0.74 , 0.04
Armando Reynoso , Rockies , 1995 , 5.0 , 1 , L , 0.47 , 0.13
Marvin Freeman , Rockies , 1995 , 2.33 , 1 , N , 0.0 , 0.25
Bret Saberhagen , Rockies , 1995 , 7.0 , 2 , N , 0.46 , 0.23
Kevin Ritz , Rockies , 1995 , 5.0 , 4 , L , 0.17 , 0.5
Bryan Rekar , Rockies , 1995 , 3.0 , 5 , L , 0.0 , 0.69
Armando Reynoso , Rockies , 1995 , 6.67 , 2 , W , 0.53 , 0.18
Roger Bailey , Rockies , 1995 , 8.0 , 5 , W , 0.2 , 0.67
Bret Saberhagen , Rockies , 1995 , 0.33 , 7 , L , 0.0 , 1.0
Kevin Ritz , Rockies , 1995 , 5.0 , 5 , L , 0.1 , 0.62
Bryan Rekar , Rockies , 1995 , 8.33 , 2 , N , 0.49 , 0.3
Armando Reynoso , Rockies , 1995 , 5.0 , 4 , L , 0.17 , 0.5
Roger Bailey , Rockies , 1995 , 6.0 , 3 , W , 0.29 , 0.36
Kevin Ritz , Rockies , 1995 , 3.67 , 3 , N , 0.0 , 0.51
Bryan Rekar , Rockies , 1995 , 6.0 , 5 , L , 0.13 , 0.61
Bret Saberhagen , Rockies , 1995 , 6.0 , 0 , N , 0.66 , 0.04
Armando Reynoso , Rockies , 1995 , 4.67 , 7 , L , 0.0 , 0.82
Roger Bailey , Rockies , 1995 , 5.0 , 3 , W , 0.25 , 0.36
Kevin Ritz , Rockies , 1995 , 6.0 , 4 , L , 0.19 , 0.5
Bryan Rekar , Rockies , 1995 , 8.0 , 0 , W , 0.76 , 0.04
Armando Reynoso , Rockies , 1995 , 5.67 , 1 , N , 0.51 , 0.12
Roger Bailey , Rockies , 1995 , 8.33 , 1 , W , 0.64 , 0.15
Kevin Ritz , Rockies , 1995 , 6.0 , 4 , N , 0.19 , 0.5
Bryan Rekar , Rockies , 1995 , 7.0 , 0 , L , 0.73 , 0.04
Armando Reynoso , Rockies , 1995 , 5.0 , 4 , W , 0.17 , 0.5
Roger Bailey , Rockies , 1995 , 5.33 , 3 , N , 0.25 , 0.36
Bill Swift , Rockies , 1995 , 5.0 , 1 , W , 0.47 , 0.13
Bret Saberhagen , Rockies , 1995 , 5.0 , 2 , N , 0.35 , 0.24
Bryan Rekar , Rockies , 1995 , 5.0 , 3 , N , 0.25 , 0.36
Lance Painter , Rockies , 1995 , 5.0 , 2 , W , 0.35 , 0.24
Roger Bailey , Rockies , 1995 , 4.0 , 5 , L , 0.0 , 0.73
Bill Swift , Rockies , 1995 , 5.0 , 2 , N , 0.35 , 0.24
Bret Saberhagen , Rockies , 1995 , 3.0 , 3 , N , 0.0 , 0.47
Bryan Rekar , Rockies , 1995 , 4.0 , 8 , L , 0.0 , 0.91
Kevin Ritz , Rockies , 1995 , 7.67 , 0 , W , 0.83 , 0.03
Armando Reynoso , Rockies , 1995 , 3.33 , 5 , L , 0.0 , 0.69
Bill Swift , Rockies , 1995 , 5.33 , 1 , W , 0.47 , 0.13
Joe Grahe , Rockies , 1995 , 4.0 , 5 , L , 0.0 , 0.73
Kevin Ritz , Rockies , 1995 , 6.0 , 1 , W , 0.51 , 0.11
Bryan Rekar , Rockies , 1995 , 5.33 , 1 , L , 0.47 , 0.13
Armando Reynoso , Rockies , 1995 , 8.0 , 1 , W , 0.64 , 0.15
Bill Swift , Rockies , 1995 , 6.0 , 2 , L , 0.4 , 0.23
Bret Saberhagen , Rockies , 1995 , 5.33 , 2 , W , 0.35 , 0.24
Kevin Ritz , Rockies , 1995 , 6.0 , 5 , L , 0.13 , 0.61
Bryan Rekar , Rockies , 1995 , 4.0 , 7 , L , 0.0 , 0.83
Armando Reynoso , Rockies , 1995 , 3.0 , 3 , N , 0.0 , 0.47
Bill Swift , Rockies , 1995 , 5.67 , 1 , W , 0.51 , 0.12
Bret Saberhagen , Rockies , 1995 , 2.0 , 6 , N , 0.0 , 0.82
