Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Jeff Suppan , Royals , 2001 , 5.0 , 5 , L , 0.1 , 0.62
Blake Stein , Royals , 2001 , 1.67 , 8 , L , 0.0 , 0.92
Dan Reichert , Royals , 2001 , 6.0 , 1 , L , 0.51 , 0.11
Brian Meadows , Royals , 2001 , 4.0 , 5 , L , 0.0 , 0.73
Jeff Suppan , Royals , 2001 , 6.33 , 3 , W , 0.29 , 0.36
Mac Suzuki , Royals , 2001 , 5.0 , 1 , W , 0.47 , 0.13
Blake Stein , Royals , 2001 , 5.0 , 3 , L , 0.25 , 0.36
Dan Reichert , Royals , 2001 , 6.0 , 4 , N , 0.19 , 0.5
Brian Meadows , Royals , 2001 , 6.0 , 5 , L , 0.13 , 0.61
Jeff Suppan , Royals , 2001 , 6.0 , 2 , L , 0.4 , 0.23
Mac Suzuki , Royals , 2001 , 6.0 , 1 , N , 0.51 , 0.11
Blake Stein , Royals , 2001 , 6.0 , 2 , W , 0.4 , 0.23
Dan Reichert , Royals , 2001 , 6.33 , 3 , W , 0.29 , 0.36
Brian Meadows , Royals , 2001 , 6.0 , 4 , N , 0.19 , 0.5
Jeff Suppan , Royals , 2001 , 6.67 , 1 , N , 0.62 , 0.09
Mac Suzuki , Royals , 2001 , 6.0 , 4 , L , 0.19 , 0.5
Blake Stein , Royals , 2001 , 6.0 , 4 , N , 0.19 , 0.5
Dan Reichert , Royals , 2001 , 8.0 , 0 , W , 0.76 , 0.04
Brian Meadows , Royals , 2001 , 4.67 , 4 , L , 0.0 , 0.6
Jeff Suppan , Royals , 2001 , 6.0 , 5 , L , 0.13 , 0.61
Mac Suzuki , Royals , 2001 , 8.0 , 0 , W , 0.76 , 0.04
Blake Stein , Royals , 2001 , 4.67 , 4 , L , 0.0 , 0.6
Dan Reichert , Royals , 2001 , 6.0 , 2 , W , 0.4 , 0.23
Brian Meadows , Royals , 2001 , 5.0 , 4 , N , 0.17 , 0.5
Jeff Suppan , Royals , 2001 , 7.33 , 3 , W , 0.34 , 0.37
Chad Durbin , Royals , 2001 , 4.0 , 7 , L , 0.0 , 0.83
Mac Suzuki , Royals , 2001 , 4.0 , 1 , L , 0.0 , 0.25
Dan Reichert , Royals , 2001 , 5.0 , 3 , L , 0.25 , 0.36
Brian Meadows , Royals , 2001 , 4.67 , 5 , L , 0.0 , 0.66
Jeff Suppan , Royals , 2001 , 6.0 , 5 , N , 0.13 , 0.61
Chad Durbin , Royals , 2001 , 7.33 , 3 , L , 0.34 , 0.37
Mac Suzuki , Royals , 2001 , 6.0 , 3 , N , 0.29 , 0.36
Dan Reichert , Royals , 2001 , 5.0 , 4 , L , 0.17 , 0.5
Brian Meadows , Royals , 2001 , 6.67 , 2 , W , 0.53 , 0.18
Jeff Suppan , Royals , 2001 , 7.0 , 1 , N , 0.59 , 0.11
Chad Durbin , Royals , 2001 , 8.0 , 3 , W , 0.36 , 0.45
Mac Suzuki , Royals , 2001 , 2.0 , 5 , L , 0.0 , 0.75
Dan Reichert , Royals , 2001 , 7.0 , 1 , L , 0.59 , 0.11
Brian Meadows , Royals , 2001 , 6.0 , 1 , N , 0.51 , 0.11
Jeff Suppan , Royals , 2001 , 4.33 , 2 , N , 0.0 , 0.38
Chad Durbin , Royals , 2001 , 7.0 , 2 , W , 0.46 , 0.23
Blake Stein , Royals , 2001 , 3.33 , 4 , L , 0.0 , 0.62
Dan Reichert , Royals , 2001 , 7.0 , 2 , W , 0.46 , 0.23
Brian Meadows , Royals , 2001 , 3.33 , 5 , L , 0.0 , 0.69
Jeff Suppan , Royals , 2001 , 7.33 , 3 , L , 0.34 , 0.37
Chad Durbin , Royals , 2001 , 7.0 , 1 , W , 0.59 , 0.11
Dan Reichert , Royals , 2001 , 6.0 , 5 , N , 0.13 , 0.61
Brian Meadows , Royals , 2001 , 4.0 , 4 , L , 0.0 , 0.6
Jeff Suppan , Royals , 2001 , 7.0 , 4 , N , 0.25 , 0.5
Chad Durbin , Royals , 2001 , 3.0 , 5 , L , 0.0 , 0.69
Mac Suzuki , Royals , 2001 , 4.0 , 2 , L , 0.0 , 0.38
Dan Reichert , Royals , 2001 , 7.33 , 2 , W , 0.46 , 0.23
Blake Stein , Royals , 2001 , 5.0 , 2 , W , 0.35 , 0.24
Jeff Suppan , Royals , 2001 , 6.0 , 4 , L , 0.19 , 0.5
Chad Durbin , Royals , 2001 , 7.67 , 3 , L , 0.46 , 0.32
Mac Suzuki , Royals , 2001 , 2.67 , 5 , L , 0.0 , 0.74
Dan Reichert , Royals , 2001 , 6.0 , 6 , L , 0.08 , 0.74
Jeff Suppan , Royals , 2001 , 6.67 , 5 , W , 0.17 , 0.6
Chad Durbin , Royals , 2001 , 6.0 , 3 , L , 0.29 , 0.36
Paul Byrd , Royals , 2001 , 5.0 , 3 , L , 0.25 , 0.36
Blake Stein , Royals , 2001 , 7.0 , 0 , W , 0.73 , 0.04
Dan Reichert , Royals , 2001 , 3.0 , 6 , L , 0.0 , 0.77
