Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Mickey Lolich , Tigers , 1972 , 9.0 , 2 , W , 0.8 , 0.13
Joe Coleman , Tigers , 1972 , 7.33 , 2 , W , 0.46 , 0.23
Mickey Lolich , Tigers , 1972 , 7.33 , 5 , L , 0.18 , 0.64
Tom Timmermann , Tigers , 1972 , 7.0 , 1 , L , 0.59 , 0.11
Joe Coleman , Tigers , 1972 , 7.0 , 2 , W , 0.46 , 0.23
Les Cain , Tigers , 1972 , 6.0 , 3 , L , 0.29 , 0.36
Mickey Lolich , Tigers , 1972 , 9.0 , 1 , W , 0.89 , 0.05
Joe Coleman , Tigers , 1972 , 9.0 , 1 , W , 0.89 , 0.05
Tom Timmermann , Tigers , 1972 , 9.0 , 0 , W , 0.96 , 0.01
Mickey Lolich , Tigers , 1972 , 9.0 , 1 , W , 0.89 , 0.05
Joe Coleman , Tigers , 1972 , 6.67 , 5 , L , 0.17 , 0.6
Tom Timmermann , Tigers , 1972 , 8.0 , 4 , L , 0.25 , 0.58
Mickey Lolich , Tigers , 1972 , 9.0 , 1 , W , 0.89 , 0.05
Joe Coleman , Tigers , 1972 , 6.67 , 1 , L , 0.62 , 0.09
Tom Timmermann , Tigers , 1972 , 6.67 , 1 , W , 0.62 , 0.09
Mickey Lolich , Tigers , 1972 , 9.0 , 3 , W , 0.7 , 0.23
Joe Coleman , Tigers , 1972 , 6.0 , 0 , W , 0.66 , 0.04
Tom Timmermann , Tigers , 1972 , 3.33 , 0 , N , 0.0 , 0.02
Mickey Lolich , Tigers , 1972 , 9.0 , 1 , W , 0.89 , 0.05
Joe Coleman , Tigers , 1972 , 7.0 , 2 , W , 0.46 , 0.23
Chuck Seelbach , Tigers , 1972 , 4.67 , 5 , L , 0.0 , 0.66
Les Cain , Tigers , 1972 , 6.33 , 3 , L , 0.29 , 0.36
Tom Timmermann , Tigers , 1972 , 4.67 , 4 , L , 0.0 , 0.6
Mickey Lolich , Tigers , 1972 , 9.0 , 1 , W , 0.89 , 0.05
Joe Coleman , Tigers , 1972 , 9.0 , 2 , W , 0.8 , 0.13
