Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Kevin Tapani , Twins , 1994 , 3.67 , 7 , L , 0.0 , 0.83
Jim Deshaies , Twins , 1994 , 7.0 , 1 , L , 0.59 , 0.11
Scott Erickson , Twins , 1994 , 6.33 , 3 , W , 0.29 , 0.36
Pat Mahomes , Twins , 1994 , 5.0 , 6 , N , 0.08 , 0.7
Carlos Pulido , Twins , 1994 , 3.33 , 6 , L , 0.0 , 0.77
Jim Deshaies , Twins , 1994 , 3.67 , 9 , L , 0.0 , 0.96
Mark Guthrie , Twins , 1994 , 4.0 , 7 , N , 0.0 , 0.83
Scott Erickson , Twins , 1994 , 4.0 , 7 , L , 0.0 , 0.83
Pat Mahomes , Twins , 1994 , 5.33 , 4 , W , 0.17 , 0.5
Kevin Tapani , Twins , 1994 , 6.33 , 4 , N , 0.19 , 0.5
Jim Deshaies , Twins , 1994 , 5.67 , 4 , W , 0.17 , 0.51
Mark Guthrie , Twins , 1994 , 1.0 , 5 , L , 0.0 , 0.72
Scott Erickson , Twins , 1994 , 5.67 , 4 , L , 0.17 , 0.51
Kevin Tapani , Twins , 1994 , 6.33 , 4 , N , 0.19 , 0.5
Jim Deshaies , Twins , 1994 , 6.0 , 4 , N , 0.19 , 0.5
Pat Mahomes , Twins , 1994 , 4.0 , 4 , N , 0.0 , 0.6
Scott Erickson , Twins , 1994 , 5.67 , 4 , L , 0.17 , 0.51
Carlos Pulido , Twins , 1994 , 5.67 , 6 , L , 0.07 , 0.73
Kevin Tapani , Twins , 1994 , 7.0 , 3 , W , 0.34 , 0.37
Jim Deshaies , Twins , 1994 , 5.0 , 3 , N , 0.25 , 0.36
Pat Mahomes , Twins , 1994 , 6.0 , 5 , L , 0.13 , 0.61
Scott Erickson , Twins , 1994 , 9.0 , 0 , W , 0.96 , 0.01
Carlos Pulido , Twins , 1994 , 5.0 , 4 , L , 0.17 , 0.5
Kevin Tapani , Twins , 1994 , 4.0 , 6 , L , 0.0 , 0.79
Jim Deshaies , Twins , 1994 , 5.33 , 6 , W , 0.08 , 0.7
Pat Mahomes , Twins , 1994 , 6.0 , 1 , N , 0.51 , 0.11
Scott Erickson , Twins , 1994 , 5.0 , 7 , L , 0.05 , 0.78
Kevin Tapani , Twins , 1994 , 4.0 , 5 , N , 0.0 , 0.73
Jim Deshaies , Twins , 1994 , 6.67 , 2 , L , 0.53 , 0.18
Pat Mahomes , Twins , 1994 , 6.0 , 2 , W , 0.4 , 0.23
Scott Erickson , Twins , 1994 , 9.0 , 2 , W , 0.8 , 0.13
Kevin Tapani , Twins , 1994 , 8.0 , 5 , W , 0.2 , 0.67
Carlos Pulido , Twins , 1994 , 8.0 , 0 , W , 0.76 , 0.04
Jim Deshaies , Twins , 1994 , 1.33 , 5 , L , 0.0 , 0.72
Pat Mahomes , Twins , 1994 , 7.0 , 1 , W , 0.59 , 0.11
Scott Erickson , Twins , 1994 , 7.67 , 4 , W , 0.32 , 0.44
Kevin Tapani , Twins , 1994 , 9.0 , 2 , W , 0.8 , 0.13
Jim Deshaies , Twins , 1994 , 7.0 , 4 , N , 0.25 , 0.5
Pat Mahomes , Twins , 1994 , 7.0 , 1 , W , 0.59 , 0.11
Carlos Pulido , Twins , 1994 , 7.0 , 1 , W , 0.59 , 0.11
Kevin Tapani , Twins , 1994 , 8.33 , 0 , W , 0.76 , 0.04
Jim Deshaies , Twins , 1994 , 6.0 , 4 , L , 0.19 , 0.5
Pat Mahomes , Twins , 1994 , 6.0 , 3 , N , 0.29 , 0.36
Carlos Pulido , Twins , 1994 , 5.0 , 4 , L , 0.17 , 0.5
Kevin Tapani , Twins , 1994 , 7.33 , 2 , W , 0.46 , 0.23
Jim Deshaies , Twins , 1994 , 5.0 , 2 , N , 0.35 , 0.24
Pat Mahomes , Twins , 1994 , 3.0 , 5 , L , 0.0 , 0.69
Carlos Pulido , Twins , 1994 , 3.33 , 4 , L , 0.0 , 0.62
Scott Erickson , Twins , 1994 , 6.0 , 2 , W , 0.4 , 0.23
Kevin Tapani , Twins , 1994 , 8.0 , 1 , W , 0.64 , 0.15
Jim Deshaies , Twins , 1994 , 5.0 , 5 , N , 0.1 , 0.62
Pat Mahomes , Twins , 1994 , 6.33 , 2 , W , 0.4 , 0.23
Scott Erickson , Twins , 1994 , 7.0 , 4 , L , 0.25 , 0.5
Kevin Tapani , Twins , 1994 , 7.0 , 1 , W , 0.59 , 0.11
Carlos Pulido , Twins , 1994 , 4.33 , 5 , N , 0.0 , 0.73
Jim Deshaies , Twins , 1994 , 6.67 , 5 , L , 0.17 , 0.6
Pat Mahomes , Twins , 1994 , 5.67 , 4 , W , 0.17 , 0.51
Scott Erickson , Twins , 1994 , 7.0 , 5 , N , 0.18 , 0.64
Kevin Tapani , Twins , 1994 , 9.0 , 0 , W , 0.96 , 0.01
Carlos Pulido , Twins , 1994 , 6.0 , 2 , W , 0.4 , 0.23
Jim Deshaies , Twins , 1994 , 6.0 , 2 , W , 0.4 , 0.23
Pat Mahomes , Twins , 1994 , 2.33 , 4 , N , 0.0 , 0.59
Scott Erickson , Twins , 1994 , 6.33 , 5 , W , 0.13 , 0.61
Kevin Tapani , Twins , 1994 , 4.67 , 4 , L , 0.0 , 0.6
Jim Deshaies , Twins , 1994 , 4.67 , 5 , L , 0.0 , 0.66
Pat Mahomes , Twins , 1994 , 6.0 , 4 , W , 0.19 , 0.5
Scott Erickson , Twins , 1994 , 6.67 , 4 , N , 0.24 , 0.5
Carlos Pulido , Twins , 1994 , 5.33 , 3 , N , 0.25 , 0.36
Kevin Tapani , Twins , 1994 , 6.0 , 3 , L , 0.29 , 0.36
Jim Deshaies , Twins , 1994 , 8.0 , 1 , W , 0.64 , 0.15
Pat Mahomes , Twins , 1994 , 7.0 , 4 , L , 0.25 , 0.5
Scott Erickson , Twins , 1994 , 7.0 , 1 , W , 0.59 , 0.11
Kevin Tapani , Twins , 1994 , 9.0 , 0 , L , 0.96 , 0.01
Carlos Pulido , Twins , 1994 , 4.0 , 4 , N , 0.0 , 0.6
Jim Deshaies , Twins , 1994 , 3.0 , 5 , N , 0.0 , 0.69
Pat Mahomes , Twins , 1994 , 6.67 , 4 , N , 0.24 , 0.5
Scott Erickson , Twins , 1994 , 6.33 , 5 , L , 0.13 , 0.61
Eddie Guardado , Twins , 1994 , 3.0 , 5 , L , 0.0 , 0.69
Kevin Tapani , Twins , 1994 , 2.67 , 6 , N , 0.0 , 0.8
Jim Deshaies , Twins , 1994 , 6.0 , 7 , L , 0.07 , 0.81
Pat Mahomes , Twins , 1994 , 6.0 , 4 , L , 0.19 , 0.5
Scott Erickson , Twins , 1994 , 7.67 , 1 , W , 0.72 , 0.08
Eddie Guardado , Twins , 1994 , 7.67 , 3 , N , 0.46 , 0.32
Kevin Tapani , Twins , 1994 , 7.0 , 5 , W , 0.18 , 0.64
Jim Deshaies , Twins , 1994 , 5.0 , 4 , L , 0.17 , 0.5
