Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Chris Sale , White_Sox , 2016 , 7.0 , 3 , W , 0.34 , 0.37
Jose Quintana , White_Sox , 2016 , 5.67 , 2 , N , 0.42 , 0.19
Carlos Rodon , White_Sox , 2016 , 7.0 , 2 , L , 0.46 , 0.23
Mat Latos , White_Sox , 2016 , 6.0 , 0 , W , 0.66 , 0.04
John Danks , White_Sox , 2016 , 5.0 , 5 , L , 0.1 , 0.62
Chris Sale , White_Sox , 2016 , 7.0 , 3 , W , 0.34 , 0.37
Jose Quintana , White_Sox , 2016 , 6.0 , 1 , W , 0.51 , 0.11
Carlos Rodon , White_Sox , 2016 , 6.0 , 0 , W , 0.66 , 0.04
Mat Latos , White_Sox , 2016 , 6.0 , 1 , W , 0.51 , 0.11
Chris Sale , White_Sox , 2016 , 9.0 , 0 , W , 0.96 , 0.01
John Danks , White_Sox , 2016 , 6.33 , 5 , L , 0.13 , 0.61
Jose Quintana , White_Sox , 2016 , 6.0 , 2 , L , 0.4 , 0.23
Carlos Rodon , White_Sox , 2016 , 0.33 , 5 , L , 0.0 , 0.87
Mat Latos , White_Sox , 2016 , 6.33 , 0 , W , 0.66 , 0.04
Chris Sale , White_Sox , 2016 , 7.0 , 0 , W , 0.73 , 0.04
John Danks , White_Sox , 2016 , 6.0 , 2 , L , 0.4 , 0.23
Jose Quintana , White_Sox , 2016 , 7.0 , 0 , W , 0.73 , 0.04
Carlos Rodon , White_Sox , 2016 , 6.67 , 2 , N , 0.53 , 0.18
Mat Latos , White_Sox , 2016 , 6.0 , 1 , W , 0.51 , 0.11
Miguel Angel Gonzalez , White_Sox , 2016 , 5.33 , 5 , N , 0.1 , 0.62
Chris Sale , White_Sox , 2016 , 8.0 , 1 , W , 0.64 , 0.15
Jose Quintana , White_Sox , 2016 , 6.0 , 0 , W , 0.66 , 0.04
John Danks , White_Sox , 2016 , 5.0 , 6 , L , 0.08 , 0.7
Carlos Rodon , White_Sox , 2016 , 7.0 , 4 , L , 0.25 , 0.5
Mat Latos , White_Sox , 2016 , 5.0 , 4 , N , 0.17 , 0.5
Chris Sale , White_Sox , 2016 , 5.33 , 1 , W , 0.47 , 0.13
Jose Quintana , White_Sox , 2016 , 8.0 , 1 , W , 0.64 , 0.15
Carlos Rodon , White_Sox , 2016 , 6.0 , 3 , L , 0.29 , 0.36
