Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Jimmy Key , Yankees , 1993 , 8.0 , 1 , W , 0.64 , 0.15
Jim Abbott , Yankees , 1993 , 7.0 , 3 , L , 0.34 , 0.37
Sam Militello , Yankees , 1993 , 2.67 , 4 , L , 0.0 , 0.65
Bob Wickman , Yankees , 1993 , 5.0 , 4 , W , 0.17 , 0.5
Jimmy Key , Yankees , 1993 , 7.0 , 0 , W , 0.73 , 0.04
Scott Kamieniecki , Yankees , 1993 , 5.0 , 1 , N , 0.47 , 0.13
Jim Abbott , Yankees , 1993 , 9.0 , 1 , W , 0.89 , 0.05
Bob Wickman , Yankees , 1993 , 8.67 , 1 , W , 0.81 , 0.07
Jimmy Key , Yankees , 1993 , 8.0 , 0 , N , 0.76 , 0.04
Scott Kamieniecki , Yankees , 1993 , 4.0 , 2 , N , 0.0 , 0.38
Jim Abbott , Yankees , 1993 , 5.67 , 6 , L , 0.07 , 0.73
Melido Perez , Yankees , 1993 , 5.0 , 5 , L , 0.1 , 0.62
Bob Wickman , Yankees , 1993 , 5.33 , 5 , N , 0.1 , 0.62
Jimmy Key , Yankees , 1993 , 6.67 , 3 , N , 0.36 , 0.33
Sam Militello , Yankees , 1993 , 5.0 , 1 , W , 0.47 , 0.13
Jim Abbott , Yankees , 1993 , 6.67 , 3 , L , 0.36 , 0.33
Melido Perez , Yankees , 1993 , 9.0 , 0 , N , 0.96 , 0.01
Mike Witt , Yankees , 1993 , 4.0 , 5 , N , 0.0 , 0.73
Jimmy Key , Yankees , 1993 , 9.0 , 0 , W , 0.96 , 0.01
Jim Abbott , Yankees , 1993 , 8.0 , 2 , L , 0.49 , 0.3
Melido Perez , Yankees , 1993 , 8.0 , 0 , W , 0.76 , 0.04
Mike Witt , Yankees , 1993 , 7.0 , 1 , W , 0.59 , 0.11
Jimmy Key , Yankees , 1993 , 8.0 , 2 , N , 0.49 , 0.3
Jim Abbott , Yankees , 1993 , 7.0 , 2 , L , 0.46 , 0.23
Bob Wickman , Yankees , 1993 , 8.0 , 1 , W , 0.64 , 0.15
Melido Perez , Yankees , 1993 , 8.0 , 5 , L , 0.2 , 0.67
Mike Witt , Yankees , 1993 , 7.0 , 1 , N , 0.59 , 0.11
Jimmy Key , Yankees , 1993 , 7.0 , 2 , N , 0.46 , 0.23
Jim Abbott , Yankees , 1993 , 3.0 , 7 , N , 0.0 , 0.84
Bob Wickman , Yankees , 1993 , 8.0 , 2 , W , 0.49 , 0.3
Melido Perez , Yankees , 1993 , 8.0 , 1 , N , 0.64 , 0.15
Mike Witt , Yankees , 1993 , 7.0 , 0 , W , 0.73 , 0.04
Jimmy Key , Yankees , 1993 , 6.67 , 4 , L , 0.24 , 0.5
Jim Abbott , Yankees , 1993 , 8.0 , 1 , W , 0.64 , 0.15
Bob Wickman , Yankees , 1993 , 6.0 , 5 , N , 0.13 , 0.61
Melido Perez , Yankees , 1993 , 8.0 , 3 , W , 0.36 , 0.45
Mike Witt , Yankees , 1993 , 1.33 , 5 , L , 0.0 , 0.72
Jimmy Key , Yankees , 1993 , 7.0 , 2 , W , 0.46 , 0.23
Jim Abbott , Yankees , 1993 , 8.0 , 3 , W , 0.36 , 0.45
Bob Wickman , Yankees , 1993 , 3.67 , 5 , N , 0.0 , 0.69
Melido Perez , Yankees , 1993 , 6.67 , 5 , L , 0.17 , 0.6
Mike Witt , Yankees , 1993 , 5.0 , 2 , W , 0.35 , 0.24
Jimmy Key , Yankees , 1993 , 7.0 , 4 , L , 0.25 , 0.5
Jim Abbott , Yankees , 1993 , 4.67 , 6 , N , 0.0 , 0.73
Bob Wickman , Yankees , 1993 , 8.0 , 0 , W , 0.76 , 0.04
Melido Perez , Yankees , 1993 , 7.33 , 5 , L , 0.18 , 0.64
Mike Witt , Yankees , 1993 , 4.0 , 3 , N , 0.0 , 0.5
Jimmy Key , Yankees , 1993 , 9.0 , 0 , W , 0.96 , 0.01
Jim Abbott , Yankees , 1993 , 8.0 , 2 , W , 0.49 , 0.3
Bob Wickman , Yankees , 1993 , 5.33 , 2 , W , 0.35 , 0.24
Melido Perez , Yankees , 1993 , 8.0 , 2 , W , 0.49 , 0.3
